candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
DR. K.C. NIHOSHE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=62,Zunheboto,IND,0,Graduate Professional,1187815,0,1187815,35,ST,ZUNHEBOTO,NA,,false,false,Male
DR. KAKHETO ZHIMOMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=13,Ghaspani-I,IND,0,Post Graduate,8950000,0,8950000,4,ST,DIMAPUR,NA,,false,false,Male
DR. KUVEZOCHI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=81,Phek,INC,0,Graduate Professional,1473796,0,1473796,19,ST,PHEK,NA,,false,false,Male
DR. N.L. AIMONG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=210,Thonoknyu,JD(S),0,Doctorate,2205000,0,2205000,57,ST,TUENSANG,NA,,false,false,Male
DR. NEIKIESALIE NICKY KIRE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=28,Kohima Town,NPF,0,Graduate Professional,11375957,0,11375957,9,ST,KOHIMA,NA,,false,false,Male
DR. NGANGSHI K. AO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=100,Monguya,IND,0,Post Graduate,2826328,0,2826328,25,ST,MOKOKCHUNG,NA,,false,false,Male
DR. PHYOBEMO NGULLY,http://myneta.info/2008Nagaland/candidate.php?candidate_id=130,Tyui,IND,0,Graduate Professional,4197500,0,4197500,37,ST,WOKHA,NA,,false,false,Male
DR. T.M. LOTHA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=135,Wokha,BJP,0,Graduate Professional,23167245,1976605,21190640,38,ST,WOKHA,NA,,false,false,Male
E. ZACHAMO LOTHA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=125,Bhandari,IND,0,12th Pass,10675000,0,10675000,40,ST,WOKHA,NA,,false,false,Male
E.E. PANGTEANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=169,Moka,NPF,0,12th Pass,885000,0,885000,48,ST,MON,NA,,false,false,Male
E.T. EZUNG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=124,Bhandari,INC,0,Graduate,10595860,0,10595860,40,ST,WOKHA,NA,,false,false,Male
ER. LEVI RENGMA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=43,Tseminyu,IND,0,Graduate Professional,229146,0,229146,12,ST,KOHIMA,NA,,false,false,Male
ER. SENKATHUNG JAMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=145,Sanis,IND,0,12th Pass,2464000,0,2464000,39,ST,WOKHA,NA,,false,false,Male
ER. T.L. SEMDOK,http://myneta.info/2008Nagaland/candidate.php?candidate_id=175,Longleng,RJD,0,Graduate Professional,100000,0,100000,50,ST,LONGLENG,NA,,false,false,Male
ESHAK,http://myneta.info/2008Nagaland/candidate.php?candidate_id=167,Aboi,RJD,0,10th Pass,1049182,74747,974435,47,ST,MON,NA,,false,false,Male
G. KAITO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=65,Satakha,NPF,0,10th Pass,2199073,0,2199073,36,ST,ZUNHEBOTO,NA,,false,false,Male
HAIYENG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=203,Noklak,RJD,0,Graduate Professional,940000,0,940000,56,ST,TUENSANG,NA,,false,false,Male
HOKHETO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=59,Suruhuto,RJD,0,Post Graduate,1030000,0,1030000,33,ST,ZUNHEBOTO,NA,,false,false,Male
HOTONGSE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=192,Longkhim Chare,IND,0,Illiterate,947200,0,947200,52,ST,TUENSANG,NA,,false,false,Male
HUSKA SUMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=69,Pughoboto,IND,0,Graduate Professional,14000000,0,14000000,13,ST,PUGHOBOTO,NA,,false,false,Male
I. IMKONG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=89,Jangpetkong,INC,0,Graduate,143222828,0,143222828,29,ST,MOKOKCHUNG,NA,,false,false,Male
IMKONG L. IMCHEN,http://myneta.info/2008Nagaland/candidate.php?candidate_id=91,Koridang,NPF,0,Post Graduate,12036000,0,12036000,28,ST,MOKOKCHUNG,NA,,false,false,Male
IMLITEMSU,http://myneta.info/2008Nagaland/candidate.php?candidate_id=117,Alungtaki,NCP,0,10th Pass,3305094,0,3305094,30,ST,MOKOKCHUNG,NA,,false,false,Male
IMTIKUMZUK,http://myneta.info/2008Nagaland/candidate.php?candidate_id=98,Aonglenden,IND,0,Graduate,3111735,0,3111735,26,ST,MOKOKCHUNG,NA,,false,false,Male
IMTILEMBA SANGTAM,http://myneta.info/2008Nagaland/candidate.php?candidate_id=190,Longkhim Chare,BJP,0,Graduate,9464169,0,9464169,52,ST,TUENSANG,NA,,false,false,Male
IMTIWAPANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=87,Tuli,INC,0,Graduate,920000,0,920000,21,ST,MOKOKCHUNG,NA,,false,false,Male
INAVI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=66,Satakha,INC,0,Post Graduate,3000000,0,3000000,36,ST,ZUNHEBOTO,NA,,false,false,Male
JONGSHILEMBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=105,Angetyongpang,RJD,0,Graduate,1140000,0,1140000,24,ST,MOKOKCHUNG,NA,,false,false,Male
JOSHUA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=67,Pughoboto,INC,0,Post Graduate,9990000,0,9990000,13,ST,PUGHOBOTO,NA,,false,false,Male
K. HOLLOHON,http://myneta.info/2008Nagaland/candidate.php?candidate_id=14,Ghaspani-II,IND,0,8th Pass,43128911,0,43128911,5,ST,DIMAPUR,NA,,false,false,Male
K. IMLONG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=198,Tuensang Sadar-II,NPF,0,Graduate,10650000,0,10650000,54,ST,TUENSANG,NA,,false,false,Male
K. KIKO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=171,Moka,BJP,0,10th Pass,723000,0,723000,48,ST,MON,NA,,false,false,Male
K. SAMUEL MEDALIANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=52,Tenning,NPF,0,Graduate,606475,0,606475,6,ST,PEREN,NA,,false,false,Male
K. YAMUKAM,http://myneta.info/2008Nagaland/candidate.php?candidate_id=216,Shamtorr-Chessore,INC,0,10th Pass,624000,0,624000,58,ST,TUENSANG,NA,,false,false,Male
K.L. CHISHI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=1,Dimapur-I,INC,0,Graduate Professional,467862200,0,467862200,1,GEN,DIMAPUR,NA,,false,false,Male
K.V. PUSA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=39,Southern Angami-II,INC,0,Graduate,2757144,0,2757144,15,ST,KOHIMA,NA,,false,false,Male
KEJONG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=196,Tuensang Sadar-II,INC,0,8th Pass,1385000,0,1385000,54,ST,TUENSANG,NA,,false,false,Male
KELHUZHATO NAKHRO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=48,Western Angami,LJP,0,8th Pass,1000000,0,1000000,8,ST,KOHIMA,NA,,false,false,Male
KEVECHUTSO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=75,Chizami,IND,0,Graduate,427970,0,427970,17,ST,PHEK,NA,,false,false,Male
KEWEKHAPE THERIE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=71,Pfutsero,INC,0,Graduate,1286648,0,1286648,16,ST,PHEK,NA,,false,false,Male
KEWEZU,http://myneta.info/2008Nagaland/candidate.php?candidate_id=74,Chizami,NPF,0,Graduate,14991976,0,14991976,17,ST,PHEK,NA,,false,false,Male
KHAOSHAI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=205,Noklak,IND,0,10th Pass,545000,0,545000,56,ST,TUENSANG,NA,,false,false,Male
