State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP
Himachal_Pradesh,2012,2,12,4,6,3,RANBIR SINGH NIKKA,M,BJP,6868,33,GEN,57277,74679,NURPUR,GEN,KANGRA,BEAS RIVER REGION,5,76.7,11.99,yes,11.39,2.63
Himachal_Pradesh,2012,2,12,4,6,5,N.S PATHANIA (COL. RETD.),M,HiSP,338,59,GEN,57277,74679,NURPUR,GEN,KANGRA,BEAS RIVER REGION,5,76.7,0.59,yes,0,2.63
Himachal_Pradesh,2012,2,12,4,6,2,RAKESH PATHANIA,M,IND,23179,48,GEN,57277,74679,NURPUR,GEN,KANGRA,BEAS RIVER REGION,5,76.7,40.47,no,28.48,2.63
Himachal_Pradesh,2012,2,12,4,7,2,KAMAL KISHOR,M,INC,14055,58,SC,53431,74073,INDORA,SC,KANGRA,BEAS RIVER REGION,7,72.13,26.3,no,4.55,2.86
Himachal_Pradesh,2012,2,12,4,7,1,MANOHAR DHIMAN,M,IND,21424,55,SC,53431,74073,INDORA,SC,KANGRA,BEAS RIVER REGION,7,72.13,40.1,no,13.79,2.86
Himachal_Pradesh,2012,2,12,4,7,6,TILAK RAJ,M,NCP,734,53,SC,53431,74073,INDORA,SC,KANGRA,BEAS RIVER REGION,7,72.13,1.37,yes,0.5,2.86
Himachal_Pradesh,2012,2,12,4,7,3,REETA DEVI,F,BJP,11624,36,SC,53431,74073,INDORA,SC,KANGRA,BEAS RIVER REGION,7,72.13,21.76,no,14.37,2.86
Himachal_Pradesh,2012,2,12,4,7,4,MALENDER RAJAN,M,IND,3944,39,SC,53431,74073,INDORA,SC,KANGRA,BEAS RIVER REGION,7,72.13,7.38,yes,5.17,2.86
Himachal_Pradesh,2012,2,12,4,7,5,PIARA SINGH,M,BSP,1181,64,SC,53431,74073,INDORA,SC,KANGRA,BEAS RIVER REGION,7,72.13,2.21,yes,0.84,2.86
Himachal_Pradesh,2012,2,12,4,7,7,SUKHBINDER KUMAR,M,BHBP,469,29,SC,53431,74073,INDORA,SC,KANGRA,BEAS RIVER REGION,7,72.13,0.88,yes,0,2.86
Himachal_Pradesh,2012,2,12,4,8,3,SUDHA SUSHANT,F,IND,9335,52,GEN,50898,72676,FATEHPUR,GEN,KANGRA,BEAS RIVER REGION,8,70.03,18.34,no,8.53,3.45
Himachal_Pradesh,2012,2,12,4,8,1,SUJAN SINGH PATHANIA,M,INC,18662,71,GEN,50898,72676,FATEHPUR,GEN,KANGRA,BEAS RIVER REGION,8,70.03,36.67,no,14.18,3.45
Himachal_Pradesh,2012,2,12,4,8,2,BALDEV THAKUR,M,BJP,11445,43,GEN,50898,72676,FATEHPUR,GEN,KANGRA,BEAS RIVER REGION,8,70.03,22.49,no,4.15,3.45
Himachal_Pradesh,2012,2,12,4,8,8,PAWAN SINGH,M,IND,331,38,SC,50898,72676,FATEHPUR,GEN,KANGRA,BEAS RIVER REGION,8,70.03,0.65,yes,0,3.45
