candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Shah Soeb Mustak,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4615,SURAT WEST,IND,0,5th Pass,160000,0,160000,167,GEN,Surat,South Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shah Surendrabhai Kesavlal,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5312,GHATLODIA,IND,0,12th Pass,3409000,0,3409000,41,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shah Vijaykumar Chimanlal,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4477,MANDVI,IND,0,12th Pass,7402529,4580000,2822529,2,GEN,Kachchh,Kutch,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shah Yashvantbhai Kalubhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4323,DASADA (SC),IND,0,Graduate Professional,175000,0,175000,60,SC,Surendranagar,Saurashtra,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shahmadar Hanifsha Remansha,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3608,SOMNATH,BSP,0,Literate,150000,0,150000,90,GEN,Gir Somnath,Saurashtra,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Shaikh Alihedar Jilani,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4616,SURAT WEST,IND,0,10th Pass,225000,0,225000,167,GEN,Surat,South Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shaikh Altafhusain Kaluahemad,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4102,ANKLESHWAR,IND,0,8th Pass,310005,0,310005,154,GEN,Bharuch,Central Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shaikh Gyasuddin Habibuddeen,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5475,DARIAPUR,INC,0,10th Pass,11280106,0,11280106,51,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=5475&id2=1771,11280106,3427258,7852848,229%,NA,Indian National Congress
Shaikh Mohamad Faruk Husainmiya (Faruk Shaikh),http://myneta.info/Gujarat2017/candidate.php?candidate_id=5699,DARIAPUR,JD(U),0,10th Pass,30000,0,30000,51,GEN,Ahmedabad,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Janata Dal (United)
Shaikh Mohsin Anvar,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4592,KARANJ,Bharatiya Bahujan Congress,0,5th Pass,73000,0,73000,162,GEN,Surat,South Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Bharatiya Bahujan Congress
