candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Mongol Singh Tyngkra,http://myneta.info/meghalaya2013/candidate.php?candidate_id=191,SUTNGA SAIPUNG (ST),UDP,0,12th Pass,6714814,415000,6299814,5,ST,NA,NA,false,true,false,Male,,,,,,
Monindro Rabha,http://myneta.info/meghalaya2013/candidate.php?candidate_id=249,TIKRIKILLA (ST),UDP,0,Post Graduate,2951393,0,2951393,45,ST,NA,NA,false,true,false,Male,,,,,,
Moonlight Pariat,http://myneta.info/meghalaya2013/candidate.php?candidate_id=89,JOWAI (ST),IND,0,12th Pass,15242254,0,15242254,2,ST,NA,NA,false,true,false,Male,,,,,,
Mording Darphang,http://myneta.info/meghalaya2013/candidate.php?candidate_id=206,UMROI (ST),NCP,0,12th Pass,2357000,0,2357000,12,ST,NA,NA,false,false,false,Male,,,,,,
Mrinal Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=147,TIKRIKILLA (ST),NCP,0,Graduate,1014550,150000,864550,45,ST,NA,NA,false,false,false,Male,,,,,,
Mulaiswori Hajong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=347,RANGSAKONA (ST),Rashtriya Secular  Congress,0,8th Pass,1568203,0,1568203,52,ST,NA,NA,false,false,false,Female,,,,,,
Munu Paul Muktieh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=23,MAWRYNGKNENG (ST),IND,0,Graduate,23638439,545000,23093439,13,ST,NA,NA,false,false,false,Male,,,,,,
Nasar Marwein,http://myneta.info/meghalaya2013/candidate.php?candidate_id=313,NONGSTOIN (ST),UDP,0,10th Pass,6286267,500000,5786267,32,ST,NA,NA,false,true,false,Male,,,,,,
Ngaitlang Dhar,http://myneta.info/meghalaya2013/candidate.php?candidate_id=177,UMROI (ST),INC,1,8th Pass,2356431227,98963806,2257467421,12,ST,NA,NA,false,true,false,Male,,,,,,
Nidhuram Hajong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=280,MAHENDRAGANJ (ST),SP,0,12th Pass,7361344,150000,7211344,54,ST,NA,NA,false,false,false,Male,,,,,,
Nihim D. Shira,http://myneta.info/meghalaya2013/candidate.php?candidate_id=181,SONGSAK (ST),NPP,0,Graduate Professional,9917000,0,9917000,41,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=181&id2=117,9917000,272840,9644160,3535%,PAN was missing last time Party in last election was NCP
Nimarson Momin,http://myneta.info/meghalaya2013/candidate.php?candidate_id=278,MAHENDRAGANJ (ST),UDP,0,12th Pass,18288452,262485,18025967,54,ST,NA,NA,false,false,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=278&id2=3,18288452,6716731,11571721,172%,
Noverfield R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=266,NORTH TURA (ST),INC,0,Graduate,5843400,550000,5293400,50,ST,NA,NA,false,true,false,Male,,,,,,
Obil Kyndait,http://myneta.info/meghalaya2013/candidate.php?candidate_id=192,KHLIEHRIAT (ST),UDP,0,12th Pass,6521141,0,6521141,6,ST,NA,NA,false,false,false,Male,,,,,,
Olendro R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=296,BAGHMARA (ST),IND,0,Graduate Professional,1707593,0,1707593,60,ST,NA,NA,false,true,false,Male,,,,,,
Omillo K. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=233,KHARKUTTA (ST),NPP,0,12th Pass,6160000,0,6160000,37,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=233&id2=115,6160000,1870409,4289591,229%,PAN was missing last time Party in last election was NCP
Panseng R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=165,BAGHMARA (ST),NCP,0,10th Pass,6593266,755276,5837990,60,ST,NA,NA,false,true,false,Male,,,,,,
Paskal Lyngkhoi,http://myneta.info/meghalaya2013/candidate.php?candidate_id=171,NONGPOH (ST),HSPDP,0,Graduate,25903,0,25903,9,ST,NA,NA,false,false,false,Male,,,,,,
Paul Lyngdoh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=214,WEST SHILLONG,UDP,0,Post Graduate,16890609,0,16890609,18,GEN,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=214&id2=69,16890609,1825528,15065081,825%,PAN was missing last time Party in last election was KHNAM
Pelcy Snaitang,http://myneta.info/meghalaya2013/candidate.php?candidate_id=54,MAWSHYNRUT (ST),IND,0,10th Pass,25234198,5371304,19862894,34,ST,NA,NA,false,true,false,Female,,,,,,
Phillip A. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=66,RAJABALA,BJP,0,8th Pass,2361805,0,2361805,47,GEN,NA,NA,false,true,false,Male,,,,,,
Phillipole D. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=164,CHOKPOT (ST),NPP,0,12th Pass,3754756,324000,3430756,59,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=164&id2=93,3754756,3340586,414170,12%,PAN was missing last time Party in last election was NCP
Philomath Passah,http://myneta.info/meghalaya2013/candidate.php?candidate_id=213,NORTH SHILLONG (ST),NPP,0,Doctorate,12289209,181000,12108209,17,ST,NA,NA,false,false,false,Male,,,,,,
Phingwel Muktieh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=169,MAWHATI (ST),INC,0,Graduate,5410017,0,5410017,8,ST,NA,NA,false,true,false,Male,,,,,,
Phlastingwell Pangniang,http://myneta.info/meghalaya2013/candidate.php?candidate_id=318,RAMBRAI JYRNGAM (ST),HSPDP,0,Graduate,2300820,0,2300820,33,ST,NA,NA,false,false,false,Male,,,,,,
Phlour W. Khongjee,http://myneta.info/meghalaya2013/candidate.php?candidate_id=20,SOHRA (ST),INC,0,Post Graduate,3441513,0,3441513,28,ST,NA,NA,false,false,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=20&id2=83,3441513,495000,2946513,595%,
Pillarson G. Momin,http://myneta.info/meghalaya2013/candidate.php?candidate_id=143,RAKSAMGRE (ST),BJP,0,Post Graduate,3835000,500000,3335000,44,ST,NA,NA,false,false,false,Male,,,,,,
Plas Mukhim,http://myneta.info/meghalaya2013/candidate.php?candidate_id=170,MAWHATI (ST),IND,0,8th Pass,6730930,0,6730930,8,ST,NA,NA,false,false,false,Male,,,,,,
Pranklip M. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=124,RANIKOR (ST),IND,0,12th Pass,2187247,0,2187247,35,ST,NA,NA,false,true,false,Male,,,,,,
Predecessor Rumnong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=207,PYNTHORUMKHRAH,UDP,0,Graduate,21107570,371939,20735631,14,GEN,NA,NA,false,false,false,Male,,,,,,
Prestone Tynsong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=113,PYNURSLA (ST),INC,0,Graduate,42635826,0,42635826,27,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=113&id2=55,42635826,4126998,38508828,933%,PAN was missing last time
