candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets,filed_itr,ac_no,reservations,district,sub_region
Surender Bhardwaj,CHURAH,INC,0,Graduate Professional,10015000,1000000,9015000,true,1,SC,CHAMBA,BEAS RIVER REGION
Surender Shourie,BANJAR,BJP,1,Graduate,2995766,747510,2248256,true,24,GEN,KULLU,BEAS RIVER REGION
Suresh Bhardwaj,SHIMLA,BJP,0,Graduate Professional,9353349,789320,8564029,true,63,GEN,SHIMLA,SHIMLA REGION
Suresh Kumar,BHORANJ,INC,1,Post Graduate,16077000,5500000,10577000,true,36,SC,HAMIRPUR,SHIVALIK REGION
Suresh Kumar,PALAMPUR,IND,0,8th Pass,156233,55000,101233,true,19,GEN,KANGRA,BEAS RIVER REGION
Suresh Kumar,GHUMARWIN,IND,0,12th Pass,366000,0,366000,true,47,GEN,BILASPUR,SHIVALIK REGION
Suresh Kumar Kashyap,PACHHAD,BJP,0,Post Graduate,11771138,6100000,5671138,true,55,SC,SIRMOUR,SHIVALIK REGION
Surinder Singh Mankotia,JASWAN-PRAGPUR,INC,0,Post Graduate,39143084,5567992,33575092,true,11,GEN,KANGRA,BEAS RIVER REGION
Tejwant Singh Negi,KINNAUR,BJP,0,Graduate,59004211,577930,58426281,true,68,ST,KINNAUR,GREATER HIMALAYAS
Thakur Singh Bharmouri,BHARMOUR,INC,0,Graduate,65784511,1619004,64165507,true,2,ST,CHAMBA,BEAS RIVER REGION
Tilak Raj,INDORA,IND,0,10th Pass,10581515,2402784,8178731,true,7,SC,KANGRA,BEAS RIVER REGION
Vijai Singh,SHAHPUR,IND,0,Graduate,22690000,0,22690000,true,17,GEN,KANGRA,BEAS RIVER REGION
Vijay Jyoti,KASUMPTI,BJP,0,10th Pass,70028722,1350442,68678280,true,62,GEN,SHIMLA,SHIMLA REGION
Vijay Kumar,KANGRA,BSP,0,12th Pass,3776181,0,3776181,true,16,GEN,KANGRA,BEAS RIVER REGION
Vijay Kumar,NADAUN,BJP,0,Post Graduate,18241077,971304,17269773,true,40,GEN,HAMIRPUR,SHIVALIK REGION
Vijay Singh,ARKI,Janral Samaj Party,0,Post Graduate,2360000,450000,1910000,true,50,GEN,SOLAN,SHIVALIK REGION
Vijender Kumar,JAWALAMUKHI,IND,0,Graduate,39006580,6172076,32834504,true,12,GEN,KANGRA,BEAS RIVER REGION
Vikas Kumar,DHARAMSHALA,IND,0,Post Graduate,2330723,0,2330723,true,18,GEN,KANGRA,BEAS RIVER REGION
Vikramaditya Singh,SHIMLA RURAL,INC,0,Post Graduate,843281014,55390000,787891014,true,64,GEN,SHIMLA,SHIMLA REGION
Vinay Kumar,SRI RENUKAJI,INC,0,10th Pass,33044987,8030702,25014285,true,57,SC,SIRMOUR,SHIVALIK REGION
Vinod Kumar,NACHAN,BJP,1,12th Pass,9174095,4411111,4762984,true,28,SC,MANDI,BEAS RIVER REGION
Vinod Sultanpuri,KASAULI,INC,0,Graduate Professional,40818476,322053,40496423,true,54,SC,SOLAN,SHIVALIK REGION
Vipan Chand,DEHRA,BSP,0,Graduate,5253758,1030000,4223758,true,10,GEN,KANGRA,BEAS RIVER REGION
Vipin Singh Parmar,SULLAH,BJP,0,Graduate Professional,14413379,0,14413379,true,14,GEN,KANGRA,BEAS RIVER REGION
Viplove Thakur,DEHRA,INC,0,Post Graduate,15416380,0,15416380,true,10,GEN,KANGRA,BEAS RIVER REGION
Virbhadra Singh,ARKI,INC,1,Post Graduate,305215611,62524000,242691611,true,50,GEN,SOLAN,SHIVALIK REGION
Virender Kumar,SHIMLA,IND,0,Graduate,2629366,795000,1834366,true,63,GEN,SHIMLA,SHIMLA REGION
Virender Sharma,DALHOUSIE,Rashtriya Azad Manch,1,12th Pass,9661000,3313847,6347153,true,4,GEN,CHAMBA,BEAS RIVER REGION
Virender Singh Kanwar,KUTLEHAR,BJP,0,Graduate Professional,33821430,5923190,27898240,true,45,GEN,UNA,BEAS RIVER REGION
Vishal Singh,SULLAH,IND,0,Post Graduate,5547095,618538,4928557,true,14,GEN,KANGRA,BEAS RIVER REGION
Vishwanath,NAHAN,CPI(M),0,Post Graduate,4650033,2400000,2250033,true,56,GEN,SIRMOUR,SHIVALIK REGION
Vivek Sharma,KUTLEHAR,INC,0,Graduate,13426556,5770135,7656421,true,45,GEN,UNA,BEAS RIVER REGION
Yadvinder Goma,JAISINGHPUR,INC,0,Post Graduate,11950000,2800000,9150000,true,13,SC,KANGRA,BEAS RIVER REGION
