candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets,filed_itr,ac_no,reservations,district,sub_region
Dr. Ram Lal Markanda,LAHAUL & SPITI,BJP,0,Doctorate,8773811,0,8773811,true,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS
Dr.Subhash Chand Manglate,CHOPAL,INC,0,Doctorate,79266881,12000000,67266881,true,60,GEN,SHIMLA,SHIMLA REGION
G S Bali,NAGROTA,INC,0,Not Given,449644670,171250473,278394197,true,15,GEN,KANGRA,BEAS RIVER REGION
Gagan Deep Prashar,JASWAN-PRAGPUR,IND,1,12th Pass,2950000,1045000,1905000,true,11,GEN,KANGRA,BEAS RIVER REGION
Gajender Thakur,MANALI,IND,0,Graduate,227140000,7400000,219740000,true,22,GEN,KULLU,BEAS RIVER REGION
Gangu Ram Musafir,PACHHAD,INC,0,Graduate,44817557,3924430,40893127,true,55,SC,SIRMOUR,SHIVALIK REGION
Govind Singh Thakur,MANALI,BJP,3,Graduate,68235051,11945108,56289943,true,22,GEN,KULLU,BEAS RIVER REGION
Gulab Singh Thakur,JOGINDERNAGAR,BJP,0,Graduate Professional,21051328,1230552,19820776,true,31,GEN,MANDI,BEAS RIVER REGION
Gulzar Singh,UNA,IND,0,8th Pass,3252000,450000,2802000,true,44,GEN,UNA,BEAS RIVER REGION
Gurnam Singh,NALAGARH,IND,0,8th Pass,1660000,1500000,160000,true,51,GEN,SOLAN,SHIVALIK REGION
Hans Raj,CHURAH,BJP,2,Post Graduate,5294137,1587148,3706989,true,1,SC,CHAMBA,BEAS RIVER REGION
Harbhajan Singh Bhajji,SHIMLA,INC,0,Graduate,39746203,293299,39452904,true,63,GEN,SHIMLA,SHIMLA REGION
Hardeep Singh Bawa,NALAGARH,IND,0,12th Pass,41870137,550000,41320137,true,51,GEN,SOLAN,SHIVALIK REGION
Hari Chand Sharma,MANALI,INC,0,10th Pass,77468186,23319240,54148946,true,22,GEN,KULLU,BEAS RIVER REGION
Harish Janartha,SHIMLA,IND,0,Graduate,53406000,6000000,47406000,true,63,GEN,SHIMLA,SHIMLA REGION
Harpreet Singh,NALAGARH,IND,0,Graduate Professional,5034091,0,5034091,true,51,GEN,SOLAN,SHIVALIK REGION
Harshwardhan Chauhan,SHILLAI,INC,0,Graduate Professional,112068559,4100000,107968559,true,59,GEN,SIRMOUR,SHIVALIK REGION
Het Singh Verma,JOGINDERNAGAR,BSP,0,12th Pass,4524101,0,4524101,true,31,GEN,MANDI,BEAS RIVER REGION
Hirdaya Ram,SRI RENUKAJI,IND,0,Graduate Professional,5978664,3000120,2978544,true,57,SC,SIRMOUR,SHIVALIK REGION
Hoshiar Singh,JASWAN-PRAGPUR,BSP,0,Post Graduate,4254000,1923000,2331000,true,11,GEN,KANGRA,BEAS RIVER REGION
Hoshyar Singh,DEHRA,IND,1,12th Pass,48468980,14060198,34408782,true,10,GEN,KANGRA,BEAS RIVER REGION
Inder Dutt Lakhanpal,BARSAR,INC,0,Graduate,44098037,15000000,29098037,true,39,GEN,HAMIRPUR,SHIVALIK REGION
Inder Singh,KASUMPTI,IND,0,8th Pass,440000,250000,190000,true,62,GEN,SHIMLA,SHIMLA REGION
