candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,gender,serious_criminal_cases,declared_pan,filed_itr,party_eci
Vinod Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3312,BARSAR,Lok Gathbandhan Party,0,10th Pass,235732,616620,-380888,39,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,false,Lok Gathbandhan Party
Vipan Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3230,DEHRA,BSP,0,Graduate,5253758,1030000,4223758,10,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Vipin Singh Parmar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3072,SULLAH,BJP,0,Graduate Professional,14413379,0,14413379,14,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Viplove Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3232,DEHRA,INC,0,Post Graduate,15416380,0,15416380,10,GEN,KANGRA,BEAS RIVER REGION,Female,false,true,true,Indian National Congress
Virbhadra Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3055,ARKI,INC,1,Post Graduate,305215611,62524000,242691611,50,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3100,SHIMLA,IND,0,Graduate,2629366,795000,1834366,63,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3142,HAROLI,BSP,0,Graduate,361455,0,361455,43,GEN,UNA,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3211,NAHAN,Lok Gathbandhan Party,1,Graduate,2120000,0,2120000,56,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,false,Lok Gathbandhan Party
Virender Kumar Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3348,KASAULI,CPI,0,12th Pass,247050,0,247050,54,SC,SOLAN,SHIVALIK REGION,Male,false,true,false,Communist Party of India
Virender Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3220,DALHOUSIE,Rashtriya Azad Manch,1,12th Pass,9661000,3313847,6347153,4,GEN,CHAMBA,BEAS RIVER REGION,Male,true,true,true,Rashtriya Azad Manch
Virender Singh Kanwar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3329,KUTLEHAR,BJP,0,Graduate Professional,33821430,5923190,27898240,45,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Vishal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3076,SULLAH,IND,0,Post Graduate,5547095,618538,4928557,14,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Vishwanath,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3210,NAHAN,CPI(M),0,Post Graduate,4650033,2400000,2250033,56,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Communist Party of India (Marxist)
Vivek Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3167,RAMPUR,CPI(M),2,12th Pass,1522500,27000,1495500,66,SC,SHIMLA,SHIMLA REGION,Male,true,true,false,Communist Party of India (Marxist)
Vivek Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3330,KUTLEHAR,INC,0,Graduate,13426556,5770135,7656421,45,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Yadvinder Goma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3240,JAISINGHPUR,INC,0,Post Graduate,11950000,2800000,9150000,13,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
