candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,gender,serious_criminal_cases,declared_pan,filed_itr,party_eci
Gajender Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3196,MANALI,IND,0,Graduate,227140000,7400000,219740000,22,GEN,KULLU,BEAS RIVER REGION,Male,false,true,true,Independent
Gangu Ram Musafir,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3175,PACHHAD,INC,0,Graduate,44817557,3924430,40893127,55,SC,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Govind Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3268,MANALI,BJP,3,Graduate,68235051,11945108,56289943,22,GEN,KULLU,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Gulab Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3163,JOGINDERNAGAR,BJP,0,Graduate Professional,21051328,1230552,19820776,31,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Gulzar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3326,UNA,IND,0,8th Pass,3252000,450000,2802000,44,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Independent
Gurnam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3423,NALAGARH,IND,0,8th Pass,1660000,1500000,160000,51,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Independent
Hans Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3235,JASWAN-PRAGPUR,IND,0,Graduate Professional,1616000,50000,1566000,11,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Hans Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3454,CHURAH,BJP,2,Post Graduate,5294137,1587148,3706989,1,SC,CHAMBA,BEAS RIVER REGION,Male,true,true,true,Bharatiya Janata Party
Harbans Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3401,JAWALI,Navbharat Ekta Dal,0,Graduate,965361,125000,840361,9,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Navbharat Ekta Dal
Harbhajan Singh Bhajji,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3376,SHIMLA,INC,0,Graduate,39746203,293299,39452904,63,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Indian National Congress
Hardeep Singh Bawa,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3424,NALAGARH,IND,0,12th Pass,41870137,550000,41320137,51,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Independent
Hari Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3360,CHOPAL,BSP,0,Post Graduate,9871000,0,9871000,60,GEN,SHIMLA,SHIMLA REGION,Male,false,true,false,Bahujan Samaj Party
Hari Chand Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3269,MANALI,INC,0,10th Pass,77468186,23319240,54148946,22,GEN,KULLU,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Hari Singh Panwar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3089,CHOPAL,IND,0,Graduate Professional,3593000,0,3593000,60,GEN,SHIMLA,SHIMLA REGION,Male,false,false,false,Independent
Harish Janartha,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3373,SHIMLA,IND,0,Graduate,53406000,6000000,47406000,63,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Harnam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3223,NURPUR,BSP,0,8th Pass,705955,0,705955,6,GEN,KANGRA,BEAS RIVER REGION,Male,false,false,false,Bahujan Samaj Party
Harpreet Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3427,NALAGARH,IND,0,Graduate Professional,5034091,0,5034091,51,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Independent
Harshwardhan Chauhan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3440,SHILLAI,INC,0,Graduate Professional,112068559,4100000,107968559,59,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Hem Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3129,SARKAGHAT,IND,0,10th Pass,3046000,64000,2982000,35,GEN,MANDI,BEAS RIVER REGION,Male,false,false,false,Independent
Het Singh Verma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3286,JOGINDERNAGAR,BSP,0,12th Pass,4524101,0,4524101,31,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Hirdaya Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3351,SRI RENUKAJI,IND,0,Graduate Professional,5978664,3000120,2978544,57,SC,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Independent
Hoshiar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3156,JASWAN-PRAGPUR,BSP,0,Post Graduate,4254000,1923000,2331000,11,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Hoshyar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3104,DEHRA,IND,1,12th Pass,48468980,14060198,34408782,10,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Inder Dutt Lakhanpal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3063,BARSAR,INC,0,Graduate,44098037,15000000,29098037,39,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Inder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3133,SARKAGHAT,BJP,0,Post Graduate,27844813,1640000,26204813,35,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Inder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3057,BALH,BJP,0,10th Pass,11080083,0,11080083,34,SC,MANDI,BEAS RIVER REGION,Male,false,true,false,Bharatiya Janata Party
Inder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3369,KASUMPTI,IND,0,8th Pass,440000,250000,190000,62,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Inder Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3119,DOON,IND,0,Post Graduate,4602329,0,4602329,52,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Independent
Indu Bala,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3174,PALAMPUR,BJP,0,Graduate,8297494,425500,7871994,19,GEN,KANGRA,BEAS RIVER REGION,Female,false,true,true,Bharatiya Janata Party
Jagat Singh Negi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3390,KINNAUR,INC,0,Graduate Professional,30384449,2380965,28003484,68,ST,KINNAUR,GREATER HIMALAYAS,Male,false,true,true,Indian National Congress
Jagdish Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3130,SARKAGHAT,IND,0,Post Graduate,6440000,0,6440000,35,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Independent
Jagjiwan Paul,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3243,SULLAH,INC,0,12th Pass,9438200,3963300,5474900,14,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Jai Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3214,NAHAN,BSP,0,12th Pass,8898702,0,8898702,56,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,false,Bahujan Samaj Party
Jai Ram Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3120,SERAJ,BJP,0,Graduate,32799144,1819462,30979682,29,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Janam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3216,BHARMOUR,IND,0,12th Pass,14598674,600000,13998674,2,ST,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Independent
Jawahar Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3099,DARANG,BJP,0,8th Pass,58912992,2500867,56412125,30,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Jeet Ram Katwal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3161,JHANDUTA,BJP,0,Post Graduate,17098264,853593,16244671,46,SC,BILASPUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Jeevan Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3391,KINNAUR,CPI(M),3,12th Pass,113400,0,113400,68,ST,KINNAUR,GREATER HIMALAYAS,Male,true,true,false,Communist Party of India (Marxist)
Jhabe Ram Kaushal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3272,BANJAR,BSP,0,Post Graduate,2332000,225000,2107000,24,GEN,KULLU,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Jia Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3070,BHARMOUR,BJP,2,10th Pass,8319838,0,8319838,2,ST,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Jit Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3415,MANALI,BSP,0,12th Pass,1065000,50000,1015000,22,GEN,KULLU,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Jiwan Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3284,JOGINDERNAGAR,INC,0,Post Graduate,7224105,2048000,5176105,31,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Joginder Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3080,SUJANPUR,CPI(M),0,Graduate Professional,7545864,0,7545864,37,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,false,false,Communist Party of India (Marxist)
Kailash Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3190,KINNAUR,BSP,0,Graduate,3769000,770000,2999000,68,ST,KINNAUR,GREATER HIMALAYAS,Male,false,true,false,Bahujan Samaj Party
Kamal Kant Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3193,KULLU,IND,0,Graduate Professional,179086673,0,179086673,23,GEN,KULLU,BEAS RIVER REGION,Male,false,true,true,Independent
Kamal Kishore,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3147,INDORA,INC,0,Graduate Professional,4959983,865880,4094103,7,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Kamal Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3113,DHARAMSHALA,IND,0,Post Graduate,195000,0,195000,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Kamal Pathania,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3305,HAMIRPUR,IND,0,12th Pass,32779303,12925000,19854303,38,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Independent
Kamlesh Kumari,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3078,BHORANJ,BJP,0,10th Pass,2919207,800000,2119207,36,SC,HAMIRPUR,SHIVALIK REGION,Female,false,true,false,Bharatiya Janata Party
Kapoor Chand Choudhary,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3173,PALAMPUR,IND,0,Post Graduate,4535000,0,4535000,19,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Kaul Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3098,DARANG,INC,0,Graduate Professional,80384352,7733319,72651033,30,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Kedar Singh Jindan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3438,SHILLAI,BSP,1,Post Graduate,1165000,0,1165000,59,GEN,SIRMOUR,SHIVALIK REGION,Male,true,true,true,Bahujan Samaj Party
Kehar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3238,JAISINGHPUR,BSP,0,Doctorate,41500000,0,41500000,13,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Keshav Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3392,KASAULI,Swabhiman Party,0,5th Pass,5025000,2000000,3025000,54,SC,SOLAN,SHIVALIK REGION,Male,false,true,true,Swabhiman Party
Kewal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3110,SHAHPUR,INC,0,Post Graduate,27922603,3474255,24448348,17,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Kirnesh Jung,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3354,PAONTA SAHIB,INC,0,12th Pass,83889425,6505550,77383875,58,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Kishan Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3115,DHARAMSHALA,BJP,1,12th Pass,79986396,1971733,78014663,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Kishori Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3261,BAIJNATH,INC,0,10th Pass,41455034,600000,40855034,20,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Kishori Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3054,ANNI,BJP,0,Post Graduate,25293001,1550000,23743001,25,SC,KULLU,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Kripal Singh Parmar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3226,FATEHPUR,BJP,0,Graduate Professional,27468286,800230,26668056,8,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Krishan Lal Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3425,NALAGARH,BJP,3,Graduate Professional,27905607,7544353,20361254,51,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Kuldeep Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3141,HAMIRPUR,INC,0,Graduate,20144988,959322,19185666,38,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Kuldeep Singh Pathania,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3418,BHATTIYAT,INC,0,Graduate Professional,89573130,2229043,87344087,5,GEN,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Kuldip Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3087,CHINTPURNI,INC,0,Graduate,23663487,3963174,19700313,41,SC,UNA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Kuldip Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3177,KANGRA,Lok Gathbandhan Party,0,Graduate,38314851,0,38314851,16,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Lok Gathbandhan Party
Kuldip Singh Tanwar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3370,KASUMPTI,CPI(M),1,Doctorate,104627992,0,104627992,62,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Communist Party of India (Marxist)
Kumari Vandna,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3074,SULLAH,IND,0,Post Graduate,605375,0,605375,14,GEN,KANGRA,BEAS RIVER REGION,Female,false,true,false,Independent
Kushal Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3285,JOGINDERNAGAR,CPI(M),2,Post Graduate,2850163,0,2850163,31,GEN,MANDI,BEAS RIVER REGION,Male,true,true,false,Communist Party of India (Marxist)
Kushal Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3096,SHIMLA RURAL,Swabhiman Party,0,Graduate,6474000,0,6474000,64,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Swabhiman Party
Lakhvinder Singh Rana,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3426,NALAGARH,INC,0,Graduate,57201782,3408000,53793782,51,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Lal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3436,NACHAN,INC,0,10th Pass,4067000,750000,3317000,28,SC,MANDI,BEAS RIVER REGION,Male,false,true,false,Indian National Congress
Lal Singh Mastana,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3303,HAMIRPUR,BSP,0,Graduate,8279000,563390,7715610,38,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Bahujan Samaj Party
Lalit Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3218,BHARMOUR,IND,1,Post Graduate,22470576,0,22470576,2,ST,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Independent
Lawan Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3200,MANDI,IND,1,Post Graduate,5891728,815000,5076728,33,GEN,MANDI,BEAS RIVER REGION,Male,true,true,false,Independent
Laxman Dass,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3146,INDORA,IND,0,12th Pass,26157,0,26157,7,SC,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Lekh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3205,NADAUN,IND,0,10th Pass,408907409,4876100,404031309,40,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Independent
Lekh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3411,PALAMPUR,CPI(M),0,Graduate,1048000,143000,905000,19,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Communist Party of India (Marxist)
Lekh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3073,SULLAH,IND,0,Graduate,10590000,0,10590000,14,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Lekh Raj Katnoria,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3321,GAGRET,BSP,0,10th Pass,680000,200000,480000,42,GEN,UNA,BEAS RIVER REGION,Male,false,false,false,Bahujan Samaj Party
Lokender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3421,ANNI,CPI(M),7,Post Graduate,200000,0,200000,25,SC,KULLU,BEAS RIVER REGION,Male,true,true,false,Communist Party of India (Marxist)
Lokinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3165,JUBBAL-KOTKHAI,IND,0,Graduate,3486184,0,3486184,65,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Madan Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3299,BHORANJ,Samaj Adhikar Kalyan Party,0,8th Pass,290000,0,290000,36,SC,HAMIRPUR,SHIVALIK REGION,Male,false,false,false,Samaj Adhikar Kalyan Party
Madan Mohan Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3188,KASUMPTI,IND,0,10th Pass,25117000,0,25117000,62,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Mahender Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3105,DHARAMPUR,BJP,1,12th Pass,156335376,0,156335376,32,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Maheshwar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3192,KULLU,BJP,0,12th Pass,179950412,0,179950412,23,GEN,KULLU,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Mani Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3442,SHILLAI,Swabhiman Party,0,12th Pass,155000,0,155000,59,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,false,Swabhiman Party
Manjana Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3400,JAWALI,BSP,0,12th Pass,175014,100000,75014,9,GEN,KANGRA,BEAS RIVER REGION,Female,false,true,false,Bahujan Samaj Party
Manohar Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3331,KUTLEHAR,BSP,0,10th Pass,4520684,450000,4070684,45,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Manohar Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3101,DEHRA,Bhartiya Himachal Jan Vikas Party,0,Illiterate,5717132,1900000,3817132,10,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bhartiya Himachal Jan Vikas Party
Meena Kumari,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3171,PAONTA SAHIB,Lok Gathbandhan Party,0,Post Graduate,1706761,0,1706761,58,GEN,SIRMOUR,SHIVALIK REGION,Female,false,true,true,Lok Gathbandhan Party
Mohan Dass,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3095,SHIMLA RURAL,IND,0,Graduate,4725110,300000,4425110,64,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Mohan Lal Brakta,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3139,ROHRU,INC,0,Graduate Professional,18280012,4000000,14280012,67,SC,SHIMLA,SHIMLA REGION,Male,false,true,true,Indian National Congress
Mohinder Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3239,JAISINGHPUR,IND,0,Graduate,1273160,150000,1123160,13,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Mohinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3242,SULLAH,BSP,0,Graduate,4945000,1300000,3645000,14,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Moti Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3131,SARKAGHAT,IND,0,8th Pass,2810000,400000,2410000,35,GEN,MANDI,BEAS RIVER REGION,Male,false,true,false,Independent
Mujesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3152,JASWAN-PRAGPUR,IND,0,10th Pass,9955000,5580000,4375000,11,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Mukesh Agnihotri,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3143,HAROLI,INC,0,Graduate,77507137,1615278,75891859,43,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Mulkh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3262,BAIJNATH,BJP,0,10th Pass,532500,991000,-458500,20,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Munish Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3293,SARKAGHAT,CPI(M),6,Post Graduate,567357,0,567357,35,GEN,MANDI,BEAS RIVER REGION,Male,true,true,false,Communist Party of India (Marxist)
Murli Dhar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3241,JAISINGHPUR,All India Manavadhikar Rajnaitik Dal,0,Graduate,2813000,0,2813000,13,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,All India Manavadhikar Rajnaitik Dal
Nagesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3420,BHATTIYAT,IND,0,Graduate,4778000,700000,4078000,5,GEN,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Independent
Nand Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3455,CHURAH,SP,0,Post Graduate,1000,0,1000,1,SC,CHAMBA,BEAS RIVER REGION,Male,false,true,false,Samajwadi Party
Nand Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3384,RAMPUR,INC,0,Post Graduate,30504900,1750157,28754743,66,SC,SHIMLA,SHIMLA REGION,Male,false,true,true,Indian National Congress
Narayan Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3388,ROHRU,Swabhiman Party,0,5th Pass,546700,0,546700,67,SC,SHIMLA,SHIMLA REGION,Male,false,true,false,Swabhiman Party
Narender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3201,MANDI,BSP,0,Graduate Professional,379623,28000,351623,33,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Narender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3278,SERAJ,IND,1,Graduate Professional,300000,0,300000,29,GEN,MANDI,BEAS RIVER REGION,Male,false,true,false,Independent
Narinder Bragta,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3382,JUBBAL-KOTKHAI,BJP,1,Post Graduate,36664050,1455561,35208489,65,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Bharatiya Janata Party
Narinder Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3140,HAMIRPUR,BJP,0,Post Graduate,23274307,4434675,18839632,38,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Navneet,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3404,NAGROTA,IND,0,12th Pass,151000,0,151000,15,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Neeraj Nayar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3394,CHAMBA,INC,1,Graduate,61843180,9847931,51995249,3,GEN,CHAMBA,BEAS RIVER REGION,Male,true,true,true,Indian National Congress
Nisha Katoch,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3111,DHARAMSHALA,Swabhiman Party,0,Graduate Professional,6916414,2200000,4716414,18,GEN,KANGRA,BEAS RIVER REGION,Female,false,true,true,Swabhiman Party
Om Parkash,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3125,FATEHPUR,BSP,0,Graduate Professional,14036421,0,14036421,8,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Om Prakash,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3154,JASWAN-PRAGPUR,IND,0,8th Pass,3245000,595000,2650000,11,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Pankaj Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3114,DHARAMSHALA,IND,0,10th Pass,149069,10425,138644,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Paramjeet Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3118,DOON,BJP,0,Graduate,127386818,4048939,123337879,52,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Paras Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3422,ANNI,INC,0,Graduate,5802000,300000,5502000,25,SC,KULLU,BEAS RIVER REGION,Male,false,true,false,Indian National Congress
Paras Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3397,CHAMBA,BSP,0,12th Pass,1010000,0,1010000,3,GEN,CHAMBA,BEAS RIVER REGION,Male,false,false,false,Bahujan Samaj Party
Paro Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3132,SARKAGHAT,Lok Gathbandhan Party,0,Graduate Professional,3953000,9300000,-5347000,35,GEN,MANDI,BEAS RIVER REGION,Female,false,true,true,Lok Gathbandhan Party
Parveen Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3081,SUJANPUR,BSP,0,Graduate,16999075,6700000,10299075,37,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Bahujan Samaj Party
