candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets
Kishan Chand,DHARAMSHALA,BJP,1,12th Pass,79986396,1971733,78014663
Kishori Lal,BAIJNATH,INC,0,10th Pass,41455034,600000,40855034
Kishori Lal,ANNI,BJP,0,Post Graduate,25293001,1550000,23743001
Kripal Singh Parmar,FATEHPUR,BJP,0,Graduate Professional,27468286,800230,26668056
Krishan Lal Thakur,NALAGARH,BJP,3,Graduate Professional,27905607,7544353,20361254
Kuldeep Singh,HAMIRPUR,INC,0,Graduate,20144988,959322,19185666
Kuldeep Singh Pathania,BHATTIYAT,INC,0,Graduate Professional,89573130,2229043,87344087
Kuldip Kumar,CHINTPURNI,INC,0,Graduate,23663487,3963174,19700313
Kuldip Singh,KANGRA,Lok Gathbandhan Party,0,Graduate,38314851,0,38314851
Kuldip Singh Tanwar,KASUMPTI,CPI(M),1,Doctorate,104627992,0,104627992
Kumari Vandna,SULLAH,IND,0,Post Graduate,605375,0,605375
Kushal Bhardwaj,JOGINDERNAGAR,CPI(M),2,Post Graduate,2850163,0,2850163
Kushal Raj,SHIMLA RURAL,Swabhiman Party,0,Graduate,6474000,0,6474000
Lakhvinder Singh Rana,NALAGARH,INC,0,Graduate,57201782,3408000,53793782
Lal Singh,NACHAN,INC,0,10th Pass,4067000,750000,3317000
Lal Singh Mastana,HAMIRPUR,BSP,0,Graduate,8279000,563390,7715610
Lalit Thakur,BHARMOUR,IND,1,Post Graduate,22470576,0,22470576
Lawan Kumar,MANDI,IND,1,Post Graduate,5891728,815000,5076728
Laxman Dass,INDORA,IND,0,12th Pass,26157,0,26157
Lekh Raj,NADAUN,IND,0,10th Pass,408907409,4876100,404031309
Lekh Raj,PALAMPUR,CPI(M),0,Graduate,1048000,143000,905000
Lekh Raj,SULLAH,IND,0,Graduate,10590000,0,10590000
Lekh Raj Katnoria,GAGRET,BSP,0,10th Pass,680000,200000,480000
Lokender Kumar,ANNI,CPI(M),7,Post Graduate,200000,0,200000
Lokinder Singh,JUBBAL-KOTKHAI,IND,0,Graduate,3486184,0,3486184
Madan Lal,BHORANJ,Samaj Adhikar Kalyan Party,0,8th Pass,290000,0,290000
Madan Mohan Thakur,KASUMPTI,IND,0,10th Pass,25117000,0,25117000
Mahender Singh,DHARAMPUR,BJP,1,12th Pass,156335376,0,156335376
Maheshwar Singh,KULLU,BJP,0,12th Pass,179950412,0,179950412
Mani Ram,SHILLAI,Swabhiman Party,0,12th Pass,155000,0,155000
Manjana Devi,JAWALI,BSP,0,12th Pass,175014,100000,75014
Manohar Lal,KUTLEHAR,BSP,0,10th Pass,4520684,450000,4070684
Manohar Lal,DEHRA,Bhartiya Himachal Jan Vikas Party,0,Illiterate,5717132,1900000,3817132
Meena Kumari,PAONTA SAHIB,Lok Gathbandhan Party,0,Post Graduate,1706761,0,1706761
Mohan Dass,SHIMLA RURAL,IND,0,Graduate,4725110,300000,4425110
Mohan Lal Brakta,ROHRU,INC,0,Graduate Professional,18280012,4000000,14280012
Mohinder Kumar,JAISINGHPUR,IND,0,Graduate,1273160,150000,1123160
Mohinder Singh,SULLAH,BSP,0,Graduate,4945000,1300000,3645000
Moti Ram,SARKAGHAT,IND,0,8th Pass,2810000,400000,2410000
Mujesh Kumar,JASWAN-PRAGPUR,IND,0,10th Pass,9955000,5580000,4375000
Mukesh Agnihotri,HAROLI,INC,0,Graduate,77507137,1615278,75891859
Mulkh Raj,BAIJNATH,BJP,0,10th Pass,532500,991000,-458500
Munish Sharma,SARKAGHAT,CPI(M),6,Post Graduate,567357,0,567357
Murli Dhar,JAISINGHPUR,All India Manavadhikar Rajnaitik Dal,0,Graduate,2813000,0,2813000
Nagesh Kumar,BHATTIYAT,IND,0,Graduate,4778000,700000,4078000
Nand Kumar,CHURAH,SP,0,Post Graduate,1000,0,1000
Nand Lal,RAMPUR,INC,0,Post Graduate,30504900,1750157,28754743
Narayan Chand,ROHRU,Swabhiman Party,0,5th Pass,546700,0,546700
Narender Kumar,MANDI,BSP,0,Graduate Professional,379623,28000,351623
Narender Kumar,SERAJ,IND,1,Graduate Professional,300000,0,300000
Narinder Bragta,JUBBAL-KOTKHAI,BJP,1,Post Graduate,36664050,1455561,35208489
Narinder Thakur,HAMIRPUR,BJP,0,Post Graduate,23274307,4434675,18839632
Navneet,NAGROTA,IND,0,12th Pass,151000,0,151000
Neeraj Nayar,CHAMBA,INC,1,Graduate,61843180,9847931,51995249
Nisha Katoch,DHARAMSHALA,Swabhiman Party,0,Graduate Professional,6916414,2200000,4716414
Om Parkash,FATEHPUR,BSP,0,Graduate Professional,14036421,0,14036421
Om Prakash,JASWAN-PRAGPUR,IND,0,8th Pass,3245000,595000,2650000
Pankaj Kumar,DHARAMSHALA,IND,0,10th Pass,149069,10425,138644
Paramjeet Singh,DOON,BJP,0,Graduate,127386818,4048939,123337879
Paras Ram,ANNI,INC,0,Graduate,5802000,300000,5502000
Paras Ram,CHAMBA,BSP,0,12th Pass,1010000,0,1010000
Paro Devi,SARKAGHAT,Lok Gathbandhan Party,0,Graduate Professional,3953000,9300000,-5347000
Parveen Kumar,SUJANPUR,BSP,0,Graduate,16999075,6700000,10299075
Parveen Kumar,PALAMPUR,IND,0,Graduate,10654499,1013499,9641000
Pawan Kumar,DHARAMSHALA,BSP,1,10th Pass,923500,0,923500
Pawan Kumar,SARKAGHAT,INC,0,12th Pass,40829226,8133756,32695470
Pawan Kumar Kajal,KANGRA,INC,0,10th Pass,75733767,4212363,71521404
Pawan Nayyar,CHAMBA,BJP,0,Graduate,33422263,2812000,30610263
Pinki Devi,NAGROTA,BSP,0,5th Pass,10290000,0,10290000
Prakash Chand,DHARAMPUR,IND,0,Post Graduate,9700000,1050000,8650000
Prakash Chaudhary,BALH,INC,0,Post Graduate,17827964,3402177,14425787
Prakash Prem Kumar,JOGINDERNAGAR,IND,0,10th Pass,208607293,764459,207842834
Pramod Kumar Sharma,SHIMLA RURAL,BJP,0,Doctorate,18931820,1622106,17309714
Pratap Singh,JAWALAMUKHI,IND,0,10th Pass,3325968,250000,3075968
Praveen Kumar,BHORANJ,BSP,0,Graduate,2734350,779000,1955350
Prem Kumar,BALH,BSP,0,Post Graduate,1339703,576753,762950
Prem Kumar Dhumal,SUJANPUR,BJP,2,Post Graduate,36279509,0,36279509
Prem Singh Draik,RAMPUR,BJP,0,Post Graduate,26213814,300000,25913814
Prithi Chand,NADAUN,IND,1,10th Pass,4665430,0,4665430
Puran Chand,DARANG,IND,0,10th Pass,8286000,0,8286000
Rahul Ranpatia,BHATTIYAT,IND,0,Graduate Professional,8435000,500000,7935000
Raj Kumar,SARKAGHAT,BSP,0,Graduate Professional,793000,0,793000
Raj Kumar,HAMIRPUR,Samaj Adhikar Kalyan Party,0,10th Pass,260000,0,260000
Rajan Sushant,FATEHPUR,IND,1,Graduate Professional,24740022,4906645,19833377
Rajeev Kumar Kaundal,KASAULI,IND,1,Graduate Professional,1712203,0,1712203
Rajeev Kumar Negi,KINNAUR,Rashtravadi Pratap Sena,0,Post Graduate,15704984,318695,15386289
Rajender Paul Kashav,BALH,All India Forward Bloc,0,Graduate Professional,5393089,1400000,3993089
Rajesh Dharmani,GHUMARWIN,INC,0,Post Graduate,9863447,574457,9288990
Rajesh Kashyap,SOLAN,BJP,0,Post Graduate,30831786,1917716,28914070
Rajesh Thakur,GAGRET,BJP,0,Graduate,208371632,3540066,204831566
Rajinder Garg,GHUMARWIN,BJP,0,Post Graduate,26980169,346499,26633670
Rajinder Karpa,LAHAUL & SPITI,IND,0,Graduate,4600000,0,4600000
Rajinder Singh,SUJANPUR,INC,0,Graduate,264833629,2411117,262422512
Rajiv Gautam,UNA,IND,0,Graduate Professional,183090291,1261140,181829151
Rajiv Saizal,KASAULI,BJP,0,Graduate Professional,7709500,331745,7377755
Rakesh Kalia,GAGRET,INC,0,Graduate,189600646,60971027,128629619
Rakesh Kumar,JAWALI,IND,0,Graduate Professional,3972316,0,3972316
Rakesh Kumar,SUNDERNAGAR,BJP,1,Graduate,20500212,1399157,19101055
Rakesh Pathania,NURPUR,BJP,3,12th Pass,34652605,7201548,27451057
Rakesh Singha,THEOG,CPI(M),2,Graduate Professional,181508484,0,181508484
Rakesh Verma,THEOG,BJP,0,Graduate Professional,102591040,1050000,101541040
Ram Kumar,DOON,INC,3,Post Graduate,408144720,13783858,394360862
Ram Kumar,HAROLI,BJP,0,Post Graduate,7685653,0,7685653
Ram Lal Thakur,SRI NAINA DEVIJI,INC,0,Graduate Professional,35829952,0,35829952
Ramesh Chand,JAWALAMUKHI,BJP,1,10th Pass,4808000,63043,4744957
Ramesh Chand,BAIJNATH,BSP,0,12th Pass,10030000,0,10030000
Ramesh Chand,SRI NAINA DEVIJI,IND,1,12th Pass,7603157,700000,6903157
Ramesh Kumar,KASUMPTI,BSP,0,Graduate,5052000,10000,5042000
Ramesh Kumar,DHARAMPUR,Rashtriya Azad Manch,0,10th Pass,10862524,0,10862524
Ramesh Kumar,SHAHPUR,IND,0,5th Pass,1717575,800000,917575
Ramesh Kumar,DARANG,BSP,0,8th Pass,73709,50000,23709
Randhir Sharma,SRI NAINA DEVIJI,BJP,2,Post Graduate,18557732,0,18557732
Ranjeet Singh,NADAUN,IND,0,10th Pass,3276000,706250,2569750
Ranjit Singh,CHINTPURNI,BSP,0,Graduate,6442439,102000,6340439
Rasal Singh,FATEHPUR,Lok Gathbandhan Party,0,10th Pass,1245000,0,1245000
Rattan Singh Kashyap,PACHHAD,IND,0,12th Pass,26831478,1120000,25711478
Rattan Singh Pal,ARKI,BJP,0,10th Pass,16606262,3298000,13308262
Ravi Chand,KANGRA,NCP,0,10th Pass,8428951,3900000,4528951
Ravi Kumar,UNA,BSP,0,8th Pass,107999,0,107999
Ravi Parkash,NADAUN,BSP,1,10th Pass,10395000,7600000,2795000
Ravi Thakur,LAHAUL & SPITI,INC,0,Graduate,187551060,14741772,172809288
Ravinder Kumar,JAISINGHPUR,BJP,0,Graduate,5700611,603082,5097529
Ravinder Pal Singh Mann,HAROLI,IND,0,Graduate Professional,2954546,0,2954546
Ravinder Singh,DEHRA,BJP,1,Graduate,16984000,4242968,12741032
Ravinder Singh Dogra,SUJANPUR,NCP,0,12th Pass,10000,50000,-40000
Ravinder Singh Rana,DHARAMSHALA,IND,0,Graduate,12430000,7701000,4729000
Reeta Devi,INDORA,BJP,0,10th Pass,5830925,192146,5638779
Renuka Dogra,KULLU,Rashtriya Azad Manch,0,Graduate Professional,20990000,440200,20549800
Rohit Thakur,JUBBAL-KOTKHAI,INC,0,Graduate,278237915,1000000,277237915
Roshan Lal,THEOG,IND,0,12th Pass,726000,100000,626000
Roshani Sharma,MANDI,IND,0,10th Pass,8410943,0,8410943
Rustam Singh,JAWALI,CPI,0,Graduate,9857819,0,9857819
Saju Ram,DHARAMPUR,IND,0,8th Pass,210000,10000,200000
Sandeep Sharma,KUTLEHAR,Swabhiman Party,0,Graduate Professional,38170000,16000000,22170000
Sanjay Chaudhary,KANGRA,BJP,0,Post Graduate,9395971,2570793,6825178
Sanjay Chauhan,SHIMLA,CPI(M),0,Post Graduate,15422613,0,15422613
Sanjay Rattan,JAWALAMUKHI,INC,0,Graduate Professional,16156899,2107284,14049615
Sanjiv Kumar,SARKAGHAT,IND,0,Graduate Professional,1380000,250000,1130000
Saroti Devi,BARSAR,BSP,0,5th Pass,681000,650000,31000
Sarveen,SHAHPUR,BJP,0,Post Graduate,41948982,5500000,36448982
Satpal Singh Raizada,UNA,INC,0,10th Pass,89637432,52963667,36673765
Satpal Singh Satti,UNA,BJP,0,Post Graduate,31422977,1246674,30176303
Satya Prakash,NACHAN,IND,0,12th Pass,385000,0,385000
Sawarn Dass,KUTLEHAR,IND,0,12th Pass,3550000,320000,3230000
Sh. Bhagat Ram,KARSOG,IND,0,Graduate,9159216,1300000,7859216
Sh. Bhagwant Singh,KARSOG,IND,0,Post Graduate,5200000,450000,4750000
Sh. Hira Lal,KARSOG,BJP,0,12th Pass,3202108,2500000,702108
Sh. Mansa Ram,KARSOG,INC,0,Graduate,18374833,10573004,7801829
Sh. Mast Ram,KARSOG,IND,0,Graduate,8209961,845000,7364961
Sh. Mehar Singh Khukhaliya,KARSOG,Rashtriya Azad Manch,3,10th Pass,6560000,25000,6535000
Sh. Pawan Kumar,KARSOG,IND,0,Post Graduate,311000,0,311000
Shashi Bala,ROHRU,BJP,0,Post Graduate,4374465,0,4374465
Shashi Kant Chauhan,SOLAN,IND,0,8th Pass,2270481,150000,2120481
Shiv Hari Pal,KUTLEHAR,IND,1,12th Pass,14796354,1296923,13499431
Shurvir Singh,ROHRU,BSP,0,Graduate,110000,1826000,-1716000
Singhi Ram,RAMPUR,IND,1,Graduate Professional,58522035,15041674,43480361
Sita Ram Bhardwaj,BARSAR,IND,0,12th Pass,60523951,3360600,57163351
Sohan Lal,SUNDERNAGAR,INC,0,Post Graduate,81394949,2200000,79194949
Subhash Chand Shukla,DHARAMSHALA,IND,0,Graduate,16100000,0,16100000
Subhash Sharma,GAGRET,IND,0,Graduate Professional,4156460,19700,4136760
Subhash Thakur,BILASPUR,BJP,1,Post Graduate,18465397,430144,18035253
Sudarshan,LAHAUL & SPITI,IND,0,Graduate Professional,950000,300000,650000
Sudesh Kumar,DEHRA,IND,0,12th Pass,4818000,0,4818000
Sudhir Sharma,DHARAMSHALA,INC,0,Graduate,47713829,4800858,42912971
Sujan Singh Pathania,FATEHPUR,INC,0,Graduate,191577529,881732,190695797
Sukh Ram,PAONTA SAHIB,BJP,1,12th Pass,22226492,2378131,19848361
Sukh Ram Thakur,SRI NAINA DEVIJI,IND,0,Post Graduate,6105088,1980000,4125088
Sukhvinder Singh Thakur,NADAUN,INC,0,Post Graduate,50436952,9188778,41248174
Sunder Lal,SERAJ,BSP,0,8th Pass,9000,0,9000
Sunder Singh Thakur,KULLU,INC,0,Graduate Professional,208032031,24536547,183495484
Suraj Mani,DARANG,IND,0,8th Pass,370000,0,370000
Surender,PAONTA SAHIB,IND,0,8th Pass,22000,50000,-28000
Surender Bhardwaj,CHURAH,INC,0,Graduate Professional,10015000,1000000,9015000
Surender Shourie,BANJAR,BJP,1,Graduate,2995766,747510,2248256
Suresh Bhardwaj,SHIMLA,BJP,0,Graduate Professional,9353349,789320,8564029
Suresh Kumar,BHORANJ,INC,1,Post Graduate,16077000,5500000,10577000
Suresh Kumar,PALAMPUR,IND,0,8th Pass,156233,55000,101233
Suresh Kumar,GHUMARWIN,IND,0,12th Pass,366000,0,366000
Suresh Kumar Kashyap,PACHHAD,BJP,0,Post Graduate,11771138,6100000,5671138
Suresh Singh,RAMPUR,BSP,0,Post Graduate,116627,0,116627
Surinder Singh Mankotia,JASWAN-PRAGPUR,INC,0,Post Graduate,39143084,5567992,33575092
Sushil Kumar,INDORA,BSP,0,Graduate,382049,0,382049
Tejwant Singh Negi,KINNAUR,BJP,0,Graduate,59004211,577930,58426281
Thakur Singh Bharmouri,BHARMOUR,INC,0,Graduate,65784511,1619004,64165507
Tilak Raj,INDORA,IND,0,10th Pass,10581515,2402784,8178731
Vijai Singh,SHAHPUR,IND,0,Graduate,22690000,0,22690000
Vijay Jyoti,KASUMPTI,BJP,0,10th Pass,70028722,1350442,68678280
Vijay Kumar,KANGRA,BSP,0,12th Pass,3776181,0,3776181
Vijay Kumar,NADAUN,BJP,0,Post Graduate,18241077,971304,17269773
Vijay Singh,ARKI,Janral Samaj Party,0,Post Graduate,2360000,450000,1910000
Vijay Singh,ARKI,IND,0,8th Pass,8362522,266522,8096000
Vijender Kumar,JAWALAMUKHI,IND,0,Graduate,39006580,6172076,32834504
Vikas Kumar,DHARAMSHALA,IND,0,Post Graduate,2330723,0,2330723
Vikramaditya Singh,SHIMLA RURAL,INC,0,Post Graduate,843281014,55390000,787891014
Vinay Kumar,SRI RENUKAJI,INC,0,10th Pass,33044987,8030702,25014285
Vinod Kumar,NACHAN,BJP,1,12th Pass,9174095,4411111,4762984
Vinod Sultanpuri,KASAULI,INC,0,Graduate Professional,40818476,322053,40496423
Vinod Thakur,BARSAR,Lok Gathbandhan Party,0,10th Pass,235732,616620,-380888
Vipan Chand,DEHRA,BSP,0,Graduate,5253758,1030000,4223758
Vipin Singh Parmar,SULLAH,BJP,0,Graduate Professional,14413379,0,14413379
Viplove Thakur,DEHRA,INC,0,Post Graduate,15416380,0,15416380
Virbhadra Singh,ARKI,INC,1,Post Graduate,305215611,62524000,242691611
Virender Kumar,SHIMLA,IND,0,Graduate,2629366,795000,1834366
Virender Kumar,HAROLI,BSP,0,Graduate,361455,0,361455
Virender Kumar,NAHAN,Lok Gathbandhan Party,1,Graduate,2120000,0,2120000
Virender Kumar Kashyap,KASAULI,CPI,0,12th Pass,247050,0,247050
Virender Sharma,DALHOUSIE,Rashtriya Azad Manch,1,12th Pass,9661000,3313847,6347153
Virender Singh Kanwar,KUTLEHAR,BJP,0,Graduate Professional,33821430,5923190,27898240
Vishal Singh,SULLAH,IND,0,Post Graduate,5547095,618538,4928557
Vishwanath,NAHAN,CPI(M),0,Post Graduate,4650033,2400000,2250033
Vivek Kashyap,RAMPUR,CPI(M),2,12th Pass,1522500,27000,1495500
Vivek Sharma,KUTLEHAR,INC,0,Graduate,13426556,5770135,7656421
Yadvinder Goma,JAISINGHPUR,INC,0,Post Graduate,11950000,2800000,9150000
