candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region
Lal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3436,NACHAN,INC,0,10th Pass,4067000,750000,3317000,28,SC,MANDI,BEAS RIVER REGION
Lal Singh Mastana,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3303,HAMIRPUR,BSP,0,Graduate,8279000,563390,7715610,38,GEN,HAMIRPUR,SHIVALIK REGION
Lalit Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3218,BHARMOUR,IND,1,Post Graduate,22470576,0,22470576,2,ST,CHAMBA,BEAS RIVER REGION
Lawan Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3200,MANDI,IND,1,Post Graduate,5891728,815000,5076728,33,GEN,MANDI,BEAS RIVER REGION
Laxman Dass,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3146,INDORA,IND,0,12th Pass,26157,0,26157,7,SC,KANGRA,BEAS RIVER REGION
Lekh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3205,NADAUN,IND,0,10th Pass,408907409,4876100,404031309,40,GEN,HAMIRPUR,SHIVALIK REGION
Lekh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3411,PALAMPUR,CPI(M),0,Graduate,1048000,143000,905000,19,GEN,KANGRA,BEAS RIVER REGION
Lekh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3073,SULLAH,IND,0,Graduate,10590000,0,10590000,14,GEN,KANGRA,BEAS RIVER REGION
Lekh Raj Katnoria,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3321,GAGRET,BSP,0,10th Pass,680000,200000,480000,42,GEN,UNA,BEAS RIVER REGION
Lokender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3421,ANNI,CPI(M),7,Post Graduate,200000,0,200000,25,SC,KULLU,BEAS RIVER REGION
Lokinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3165,JUBBAL-KOTKHAI,IND,0,Graduate,3486184,0,3486184,65,GEN,SHIMLA,SHIMLA REGION
Madan Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3299,BHORANJ,Samaj Adhikar Kalyan Party,0,8th Pass,290000,0,290000,36,SC,HAMIRPUR,SHIVALIK REGION
Madan Mohan Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3188,KASUMPTI,IND,0,10th Pass,25117000,0,25117000,62,GEN,SHIMLA,SHIMLA REGION
Mahender Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3105,DHARAMPUR,BJP,1,12th Pass,156335376,0,156335376,32,GEN,MANDI,BEAS RIVER REGION
Maheshwar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3192,KULLU,BJP,0,12th Pass,179950412,0,179950412,23,GEN,KULLU,BEAS RIVER REGION
Mani Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3442,SHILLAI,Swabhiman Party,0,12th Pass,155000,0,155000,59,GEN,SIRMOUR,SHIVALIK REGION
Manjana Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3400,JAWALI,BSP,0,12th Pass,175014,100000,75014,9,GEN,KANGRA,BEAS RIVER REGION
Manohar Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3331,KUTLEHAR,BSP,0,10th Pass,4520684,450000,4070684,45,GEN,UNA,BEAS RIVER REGION
Manohar Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3101,DEHRA,Bhartiya Himachal Jan Vikas Party,0,Illiterate,5717132,1900000,3817132,10,GEN,KANGRA,BEAS RIVER REGION
Meena Kumari,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3171,PAONTA SAHIB,Lok Gathbandhan Party,0,Post Graduate,1706761,0,1706761,58,GEN,SIRMOUR,SHIVALIK REGION
Mohan Dass,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3095,SHIMLA RURAL,IND,0,Graduate,4725110,300000,4425110,64,GEN,SHIMLA,SHIMLA REGION
Mohan Lal Brakta,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3139,ROHRU,INC,0,Graduate Professional,18280012,4000000,14280012,67,SC,SHIMLA,SHIMLA REGION
Mohinder Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3239,JAISINGHPUR,IND,0,Graduate,1273160,150000,1123160,13,SC,KANGRA,BEAS RIVER REGION
Mohinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3242,SULLAH,BSP,0,Graduate,4945000,1300000,3645000,14,GEN,KANGRA,BEAS RIVER REGION
Moti Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3131,SARKAGHAT,IND,0,8th Pass,2810000,400000,2410000,35,GEN,MANDI,BEAS RIVER REGION
Mujesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3152,JASWAN-PRAGPUR,IND,0,10th Pass,9955000,5580000,4375000,11,GEN,KANGRA,BEAS RIVER REGION
Mukesh Agnihotri,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3143,HAROLI,INC,0,Graduate,77507137,1615278,75891859,43,GEN,UNA,BEAS RIVER REGION
Mulkh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3262,BAIJNATH,BJP,0,10th Pass,532500,991000,-458500,20,SC,KANGRA,BEAS RIVER REGION
Munish Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3293,SARKAGHAT,CPI(M),6,Post Graduate,567357,0,567357,35,GEN,MANDI,BEAS RIVER REGION
Murli Dhar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3241,JAISINGHPUR,All India Manavadhikar Rajnaitik Dal,0,Graduate,2813000,0,2813000,13,SC,KANGRA,BEAS RIVER REGION
Nagesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3420,BHATTIYAT,IND,0,Graduate,4778000,700000,4078000,5,GEN,CHAMBA,BEAS RIVER REGION
Nand Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3455,CHURAH,SP,0,Post Graduate,1000,0,1000,1,SC,CHAMBA,BEAS RIVER REGION
Nand Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3384,RAMPUR,INC,0,Post Graduate,30504900,1750157,28754743,66,SC,SHIMLA,SHIMLA REGION
Narayan Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3388,ROHRU,Swabhiman Party,0,5th Pass,546700,0,546700,67,SC,SHIMLA,SHIMLA REGION
Narender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3201,MANDI,BSP,0,Graduate Professional,379623,28000,351623,33,GEN,MANDI,BEAS RIVER REGION
Narender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3278,SERAJ,IND,1,Graduate Professional,300000,0,300000,29,GEN,MANDI,BEAS RIVER REGION
Narinder Bragta,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3382,JUBBAL-KOTKHAI,BJP,1,Post Graduate,36664050,1455561,35208489,65,GEN,SHIMLA,SHIMLA REGION
Narinder Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3140,HAMIRPUR,BJP,0,Post Graduate,23274307,4434675,18839632,38,GEN,HAMIRPUR,SHIVALIK REGION
Navneet,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3404,NAGROTA,IND,0,12th Pass,151000,0,151000,15,GEN,KANGRA,BEAS RIVER REGION
Neeraj Nayar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3394,CHAMBA,INC,1,Graduate,61843180,9847931,51995249,3,GEN,CHAMBA,BEAS RIVER REGION
Nisha Katoch,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3111,DHARAMSHALA,Swabhiman Party,0,Graduate Professional,6916414,2200000,4716414,18,GEN,KANGRA,BEAS RIVER REGION
Om Parkash,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3125,FATEHPUR,BSP,0,Graduate Professional,14036421,0,14036421,8,GEN,KANGRA,BEAS RIVER REGION
Om Prakash,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3154,JASWAN-PRAGPUR,IND,0,8th Pass,3245000,595000,2650000,11,GEN,KANGRA,BEAS RIVER REGION
Pankaj Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3114,DHARAMSHALA,IND,0,10th Pass,149069,10425,138644,18,GEN,KANGRA,BEAS RIVER REGION
Paramjeet Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3118,DOON,BJP,0,Graduate,127386818,4048939,123337879,52,GEN,SOLAN,SHIVALIK REGION
Paras Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3422,ANNI,INC,0,Graduate,5802000,300000,5502000,25,SC,KULLU,BEAS RIVER REGION
Paras Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3397,CHAMBA,BSP,0,12th Pass,1010000,0,1010000,3,GEN,CHAMBA,BEAS RIVER REGION
Paro Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3132,SARKAGHAT,Lok Gathbandhan Party,0,Graduate Professional,3953000,9300000,-5347000,35,GEN,MANDI,BEAS RIVER REGION
Parveen Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3081,SUJANPUR,BSP,0,Graduate,16999075,6700000,10299075,37,GEN,HAMIRPUR,SHIVALIK REGION
Parveen Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3410,PALAMPUR,IND,0,Graduate,10654499,1013499,9641000,19,GEN,KANGRA,BEAS RIVER REGION
Pawan Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3255,DHARAMSHALA,BSP,1,10th Pass,923500,0,923500,18,GEN,KANGRA,BEAS RIVER REGION
Pawan Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3292,SARKAGHAT,INC,0,12th Pass,40829226,8133756,32695470,35,GEN,MANDI,BEAS RIVER REGION
Pawan Kumar Kajal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3246,KANGRA,INC,0,10th Pass,75733767,4212363,71521404,16,GEN,KANGRA,BEAS RIVER REGION
Pawan Nayyar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3395,CHAMBA,BJP,0,Graduate,33422263,2812000,30610263,3,GEN,CHAMBA,BEAS RIVER REGION
Pinki Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3406,NAGROTA,BSP,0,5th Pass,10290000,0,10290000,15,GEN,KANGRA,BEAS RIVER REGION
Prakash Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3451,DHARAMPUR,IND,0,Post Graduate,9700000,1050000,8650000,32,GEN,MANDI,BEAS RIVER REGION
Prakash Chaudhary,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3433,BALH,INC,0,Post Graduate,17827964,3402177,14425787,34,SC,MANDI,BEAS RIVER REGION
Prakash Prem Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3164,JOGINDERNAGAR,IND,0,10th Pass,208607293,764459,207842834,31,GEN,MANDI,BEAS RIVER REGION
Pramod Kumar Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3377,SHIMLA RURAL,BJP,0,Doctorate,18931820,1622106,17309714,64,GEN,SHIMLA,SHIMLA REGION
Pratap Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3402,JAWALAMUKHI,IND,0,10th Pass,3325968,250000,3075968,12,GEN,KANGRA,BEAS RIVER REGION
Praveen Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3296,BHORANJ,BSP,0,Graduate,2734350,779000,1955350,36,SC,HAMIRPUR,SHIVALIK REGION
Prem Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3446,BALH,BSP,0,Post Graduate,1339703,576753,762950,34,SC,MANDI,BEAS RIVER REGION
Prem Kumar Dhumal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3302,SUJANPUR,BJP,2,Post Graduate,36279509,0,36279509,37,GEN,HAMIRPUR,SHIVALIK REGION
Prem Singh Draik,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3169,RAMPUR,BJP,0,Post Graduate,26213814,300000,25913814,66,SC,SHIMLA,SHIMLA REGION
Prithi Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3313,NADAUN,IND,1,10th Pass,4665430,0,4665430,40,GEN,HAMIRPUR,SHIVALIK REGION
Puran Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3282,DARANG,IND,0,10th Pass,8286000,0,8286000,30,GEN,MANDI,BEAS RIVER REGION
Rahul Ranpatia,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3222,BHATTIYAT,IND,0,Graduate Professional,8435000,500000,7935000,5,GEN,CHAMBA,BEAS RIVER REGION
Raj Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3134,SARKAGHAT,BSP,0,Graduate Professional,793000,0,793000,35,GEN,MANDI,BEAS RIVER REGION
Raj Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3307,HAMIRPUR,Samaj Adhikar Kalyan Party,0,10th Pass,260000,0,260000,38,GEN,HAMIRPUR,SHIVALIK REGION
Rajan Sushant,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3126,FATEHPUR,IND,1,Graduate Professional,24740022,4906645,19833377,8,GEN,KANGRA,BEAS RIVER REGION
Rajeev Kumar Kaundal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3347,KASAULI,IND,1,Graduate Professional,1712203,0,1712203,54,SC,SOLAN,SHIVALIK REGION
Rajeev Kumar Negi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3447,KINNAUR,Rashtravadi Pratap Sena,0,Post Graduate,15704984,318695,15386289,68,ST,KINNAUR,GREATER HIMALAYAS
Rajender Paul Kashav,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3434,BALH,All India Forward Bloc,0,Graduate Professional,5393089,1400000,3993089,34,SC,MANDI,BEAS RIVER REGION
Rajesh Dharmani,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3336,GHUMARWIN,INC,0,Post Graduate,9863447,574457,9288990,47,GEN,BILASPUR,SHIVALIK REGION
Rajesh Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3345,SOLAN,BJP,0,Post Graduate,30831786,1917716,28914070,53,SC,SOLAN,SHIVALIK REGION
Rajesh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3136,GAGRET,BJP,0,Graduate,208371632,3540066,204831566,42,GEN,UNA,BEAS RIVER REGION
Rajinder Garg,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3334,GHUMARWIN,BJP,0,Post Graduate,26980169,346499,26633670,47,GEN,BILASPUR,SHIVALIK REGION
Rajinder Karpa,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3443,LAHAUL & SPITI,IND,0,Graduate,4600000,0,4600000,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS
Rajinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3301,SUJANPUR,INC,0,Graduate,264833629,2411117,262422512,37,GEN,HAMIRPUR,SHIVALIK REGION
Rajiv Gautam,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3325,UNA,IND,0,Graduate Professional,183090291,1261140,181829151,44,GEN,UNA,BEAS RIVER REGION
Rajiv Saizal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3187,KASAULI,BJP,0,Graduate Professional,7709500,331745,7377755,54,SC,SOLAN,SHIVALIK REGION
Rakesh Kalia,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3137,GAGRET,INC,0,Graduate,189600646,60971027,128629619,42,GEN,UNA,BEAS RIVER REGION
Rakesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3160,JAWALI,IND,0,Graduate Professional,3972316,0,3972316,9,GEN,KANGRA,BEAS RIVER REGION
Rakesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3069,SUNDERNAGAR,BJP,1,Graduate,20500212,1399157,19101055,27,GEN,MANDI,BEAS RIVER REGION
Rakesh Pathania,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3208,NURPUR,BJP,3,12th Pass,34652605,7201548,27451057,6,GEN,KANGRA,BEAS RIVER REGION
Rakesh Singha,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3364,THEOG,CPI(M),2,Graduate Professional,181508484,0,181508484,61,GEN,SHIMLA,SHIMLA REGION
Rakesh Verma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3067,THEOG,BJP,0,Graduate Professional,102591040,1050000,101541040,61,GEN,SHIMLA,SHIMLA REGION
Ram Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3342,DOON,INC,3,Post Graduate,408144720,13783858,394360862,52,GEN,SOLAN,SHIVALIK REGION
Ram Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3322,HAROLI,BJP,0,Post Graduate,7685653,0,7685653,43,GEN,UNA,BEAS RIVER REGION
Ram Lal Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3088,SRI NAINA DEVIJI,INC,0,Graduate Professional,35829952,0,35829952,49,GEN,BILASPUR,SHIVALIK REGION
Ramesh Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3159,JAWALAMUKHI,BJP,1,10th Pass,4808000,63043,4744957,12,GEN,KANGRA,BEAS RIVER REGION
Ramesh Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3263,BAIJNATH,BSP,0,12th Pass,10030000,0,10030000,20,SC,KANGRA,BEAS RIVER REGION
Ramesh Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3457,SRI NAINA DEVIJI,IND,1,12th Pass,7603157,700000,6903157,49,GEN,BILASPUR,SHIVALIK REGION
Ramesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3368,KASUMPTI,BSP,0,Graduate,5052000,10000,5042000,62,GEN,SHIMLA,SHIMLA REGION
Ramesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3450,DHARAMPUR,Rashtriya Azad Manch,0,10th Pass,10862524,0,10862524,32,GEN,MANDI,BEAS RIVER REGION
Ramesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3252,SHAHPUR,IND,0,5th Pass,1717575,800000,917575,17,GEN,KANGRA,BEAS RIVER REGION
Ramesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3281,DARANG,BSP,0,8th Pass,73709,50000,23709,30,GEN,MANDI,BEAS RIVER REGION
Randhir Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3429,SRI NAINA DEVIJI,BJP,2,Post Graduate,18557732,0,18557732,49,GEN,BILASPUR,SHIVALIK REGION
Ranjeet Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3206,NADAUN,IND,0,10th Pass,3276000,706250,2569750,40,GEN,HAMIRPUR,SHIVALIK REGION
Ranjit Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3316,CHINTPURNI,BSP,0,Graduate,6442439,102000,6340439,41,SC,UNA,BEAS RIVER REGION
Rasal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3127,FATEHPUR,Lok Gathbandhan Party,0,10th Pass,1245000,0,1245000,8,GEN,KANGRA,BEAS RIVER REGION
Rattan Singh Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3460,PACHHAD,IND,0,12th Pass,26831478,1120000,25711478,55,SC,SIRMOUR,SHIVALIK REGION
Rattan Singh Pal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3340,ARKI,BJP,0,10th Pass,16606262,3298000,13308262,50,GEN,SOLAN,SHIVALIK REGION
Ravi Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3249,KANGRA,NCP,0,10th Pass,8428951,3900000,4528951,16,GEN,KANGRA,BEAS RIVER REGION
Ravi Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3062,UNA,BSP,0,8th Pass,107999,0,107999,44,GEN,UNA,BEAS RIVER REGION
Ravi Parkash,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3314,NADAUN,BSP,1,10th Pass,10395000,7600000,2795000,40,GEN,HAMIRPUR,SHIVALIK REGION
Ravi Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3265,LAHAUL & SPITI,INC,0,Graduate,187551060,14741772,172809288,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS
Ravinder Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3150,JAISINGHPUR,BJP,0,Graduate,5700611,603082,5097529,13,SC,KANGRA,BEAS RIVER REGION
Ravinder Pal Singh Mann,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3323,HAROLI,IND,0,Graduate Professional,2954546,0,2954546,43,GEN,UNA,BEAS RIVER REGION
Ravinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3102,DEHRA,BJP,1,Graduate,16984000,4242968,12741032,10,GEN,KANGRA,BEAS RIVER REGION
Ravinder Singh Dogra,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3079,SUJANPUR,NCP,0,12th Pass,10000,50000,-40000,37,GEN,HAMIRPUR,SHIVALIK REGION
Ravinder Singh Rana,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3112,DHARAMSHALA,IND,0,Graduate,12430000,7701000,4729000,18,GEN,KANGRA,BEAS RIVER REGION
Reeta Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3145,INDORA,BJP,0,10th Pass,5830925,192146,5638779,7,SC,KANGRA,BEAS RIVER REGION
Renuka Dogra,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3191,KULLU,Rashtriya Azad Manch,0,Graduate Professional,20990000,440200,20549800,23,GEN,KULLU,BEAS RIVER REGION
Rohit Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3381,JUBBAL-KOTKHAI,INC,0,Graduate,278237915,1000000,277237915,65,GEN,SHIMLA,SHIMLA REGION
Roshan Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3066,THEOG,IND,0,12th Pass,726000,100000,626000,61,GEN,SHIMLA,SHIMLA REGION
Roshani Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3291,MANDI,IND,0,10th Pass,8410943,0,8410943,33,GEN,MANDI,BEAS RIVER REGION
Rustam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3229,JAWALI,CPI,0,Graduate,9857819,0,9857819,9,GEN,KANGRA,BEAS RIVER REGION
Saju Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3452,DHARAMPUR,IND,0,8th Pass,210000,10000,200000,32,GEN,MANDI,BEAS RIVER REGION
Sandeep Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3194,KUTLEHAR,Swabhiman Party,0,Graduate Professional,38170000,16000000,22170000,45,GEN,UNA,BEAS RIVER REGION
Sanjay Chaudhary,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3250,KANGRA,BJP,0,Post Graduate,9395971,2570793,6825178,16,GEN,KANGRA,BEAS RIVER REGION
Sanjay Chauhan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3372,SHIMLA,CPI(M),0,Post Graduate,15422613,0,15422613,63,GEN,SHIMLA,SHIMLA REGION
Sanjay Rattan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3157,JAWALAMUKHI,INC,0,Graduate Professional,16156899,2107284,14049615,12,GEN,KANGRA,BEAS RIVER REGION
Sanjiv Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3295,SARKAGHAT,IND,0,Graduate Professional,1380000,250000,1130000,35,GEN,MANDI,BEAS RIVER REGION
Saroti Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3310,BARSAR,BSP,0,5th Pass,681000,650000,31000,39,GEN,HAMIRPUR,SHIVALIK REGION
Sarveen,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3108,SHAHPUR,BJP,0,Post Graduate,41948982,5500000,36448982,17,GEN,KANGRA,BEAS RIVER REGION
Satpal Singh Raizada,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3060,UNA,INC,0,10th Pass,89637432,52963667,36673765,44,GEN,UNA,BEAS RIVER REGION
Satpal Singh Satti,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3061,UNA,BJP,0,Post Graduate,31422977,1246674,30176303,44,GEN,UNA,BEAS RIVER REGION
Satya Prakash,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3432,NACHAN,IND,0,12th Pass,385000,0,385000,28,SC,MANDI,BEAS RIVER REGION
Sawarn Dass,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3328,KUTLEHAR,IND,0,12th Pass,3550000,320000,3230000,45,GEN,UNA,BEAS RIVER REGION
Sh. Bhagat Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3180,KARSOG,IND,0,Graduate,9159216,1300000,7859216,26,SC,MANDI,BEAS RIVER REGION
Sh. Bhagwant Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3178,KARSOG,IND,0,Post Graduate,5200000,450000,4750000,26,SC,MANDI,BEAS RIVER REGION
Sh. Hira Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3184,KARSOG,BJP,0,12th Pass,3202108,2500000,702108,26,SC,MANDI,BEAS RIVER REGION
Sh. Mansa Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3185,KARSOG,INC,0,Graduate,18374833,10573004,7801829,26,SC,MANDI,BEAS RIVER REGION
Sh. Mast Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3181,KARSOG,IND,0,Graduate,8209961,845000,7364961,26,SC,MANDI,BEAS RIVER REGION
Sh. Mehar Singh Khukhaliya,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3179,KARSOG,Rashtriya Azad Manch,3,10th Pass,6560000,25000,6535000,26,SC,MANDI,BEAS RIVER REGION
Sh. Pawan Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3183,KARSOG,IND,0,Post Graduate,311000,0,311000,26,SC,MANDI,BEAS RIVER REGION
Shashi Bala,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3138,ROHRU,BJP,0,Post Graduate,4374465,0,4374465,67,SC,SHIMLA,SHIMLA REGION
Shashi Kant Chauhan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3343,SOLAN,IND,0,8th Pass,2270481,150000,2120481,53,SC,SOLAN,SHIVALIK REGION
Shiv Hari Pal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3327,KUTLEHAR,IND,1,12th Pass,14796354,1296923,13499431,45,GEN,UNA,BEAS RIVER REGION
Shurvir Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3387,ROHRU,BSP,0,Graduate,110000,1826000,-1716000,67,SC,SHIMLA,SHIMLA REGION
