candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region
Balvir Singh Verma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3359,CHOPAL,BJP,0,12th Pass,907329000,267334000,639995000,60,GEN,SHIMLA,SHIMLA REGION
Balwant Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3148,INDORA,IND,0,12th Pass,160000,0,160000,7,SC,KANGRA,BEAS RIVER REGION
Banarsi Dass Dogra,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3109,SHAHPUR,BSP,0,5th Pass,2219000,0,2219000,17,GEN,KANGRA,BEAS RIVER REGION
Basant Ram Sandhu,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3082,BILASPUR,IND,0,12th Pass,2006000,0,2006000,48,GEN,BILASPUR,SHIVALIK REGION
Beeru Ram Kishore,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3162,JHANDUTA,INC,0,Graduate Professional,15776008,7143169,8632839,46,SC,BILASPUR,SHIVALIK REGION
Bhupender,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3106,DHARAMPUR,CPI(M),3,Post Graduate,3694562,800000,2894562,32,GEN,MANDI,BEAS RIVER REGION
Bidhi Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3122,FATEHPUR,IND,0,Post Graduate,10706489,0,10706489,8,GEN,KANGRA,BEAS RIVER REGION
Bikram Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3151,JASWAN-PRAGPUR,BJP,1,Graduate Professional,7433840,2219713,5214127,11,GEN,KANGRA,BEAS RIVER REGION
Bikram Singh Jaryal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3071,BHATTIYAT,BJP,1,Graduate,6448000,5000000,1448000,5,GEN,CHAMBA,BEAS RIVER REGION
Bikram Singh Rana,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3075,SULLAH,IND,0,10th Pass,8793116,2604910,6188206,14,GEN,KANGRA,BEAS RIVER REGION
Bir Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3264,BAIJNATH,IND,0,Graduate,96636,0,96636,20,SC,KANGRA,BEAS RIVER REGION
Bumber Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3339,BILASPUR,INC,1,Graduate Professional,44683505,5744834,38938671,48,GEN,BILASPUR,SHIVALIK REGION
Chaman Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3273,KARSOG,BSP,0,10th Pass,190120,0,190120,26,SC,MANDI,BEAS RIVER REGION
Champa Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3199,MANDI,INC,0,Post Graduate,17761708,2383329,15378379,33,GEN,MANDI,BEAS RIVER REGION
Chander Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3399,JAWALI,INC,0,Post Graduate,61260532,2099140,59161392,9,GEN,KANGRA,BEAS RIVER REGION
Chander Shekhar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3453,DHARAMPUR,INC,0,Graduate Professional,2249357,161000,2088357,32,GEN,MANDI,BEAS RIVER REGION
Chet Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3121,SERAJ,INC,0,10th Pass,10404992,708490,9696502,29,GEN,MANDI,BEAS RIVER REGION
Churamani,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3283,DARANG,IND,0,10th Pass,3788,0,3788,30,GEN,MANDI,BEAS RIVER REGION
Deepak Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3365,THEOG,INC,0,Graduate Professional,2100000,0,2100000,61,GEN,SHIMLA,SHIMLA REGION
Des Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3456,CHURAH,IND,0,Graduate,12063243,170421,11892822,1,SC,CHAMBA,BEAS RIVER REGION
Desh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3290,MANDI,IND,2,Graduate,2396269,675447,1720822,33,GEN,MANDI,BEAS RIVER REGION
Desh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3253,SHAHPUR,IND,0,Post Graduate,15599200,1992244,13606956,17,GEN,KANGRA,BEAS RIVER REGION
Dev Raj Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3367,KASUMPTI,IND,0,Others,652802017,0,652802017,62,GEN,SHIMLA,SHIMLA REGION
