candidate_name,party,url_comparison,url_candidate,assets_this,assets_last,assets_change,assets_change_pct,remarks,constituency,criminal_cases,education,ac_no,reservations,district,sub_region
Sudhir Sharma,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3117&id2=433,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3117,47713829,28425954,19287875,68%,,DHARAMSHALA,0,Graduate,18,GEN,KANGRA,BEAS RIVER REGION
Jai Ram Thakur,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3120&id2=31,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3120,32799144,14190820,18608324,131%,,SERAJ,0,Graduate,29,GEN,MANDI,BEAS RIVER REGION
Asha Kumari,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3221&id2=227,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3221,45310570,27723103,17587467,63%,PAN is Different,DALHOUSIE,1,Graduate,4,GEN,CHAMBA,BEAS RIVER REGION
Dr. Rajeev Bindal,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3212&id2=418,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3212,80963575,64299027,16664548,26%,,NAHAN,1,Graduate Professional,56,GEN,SIRMOUR,SHIVALIK REGION
Prem Kumar Dhumal,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3302&id2=153,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3302,36279509,21156492,15123017,71%,,SUJANPUR,2,Post Graduate,37,GEN,HAMIRPUR,SHIVALIK REGION
Mohan Lal Brakta,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3139&id2=391,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3139,18280012,5955000,12325012,207%,,ROHRU,0,Graduate Professional,67,SC,SHIMLA,SHIMLA REGION
Narinder Thakur,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3140&id2=586,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3140,23274307,11165000,12109307,108%,,HAMIRPUR,0,Post Graduate,38,GEN,HAMIRPUR,SHIVALIK REGION
Krishan Lal Thakur,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3425&id2=331,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3425,27905607,15991243,11914364,75%,,NALAGARH,3,Graduate Professional,51,GEN,SOLAN,SHIVALIK REGION
Randhir Sharma,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3429&id2=499,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3429,18557732,6834770,11722962,172%,,SRI NAINA DEVIJI,2,Post Graduate,49,GEN,BILASPUR,SHIVALIK REGION
Jagat Singh Negi,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3390&id2=215,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3390,30384449,18755000,11629449,62%,Age Difference=3,KINNAUR,0,Graduate Professional,68,ST,KINNAUR,GREATER HIMALAYAS
Yadvinder Goma,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3240&id2=150,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3240,11950000,522000,11428000,2189%,,JAISINGHPUR,0,Post Graduate,13,SC,KANGRA,BEAS RIVER REGION
Sanjay Rattan,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3157&id2=352,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3157,16156899,4953106,11203793,226%,PAN was missing last time,JAWALAMUKHI,0,Graduate Professional,12,GEN,KANGRA,BEAS RIVER REGION
Vijay Kumar,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3203&id2=489,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3203,18241077,7074108,11166969,158%,,NADAUN,0,Post Graduate,40,GEN,HAMIRPUR,SHIVALIK REGION
Sohan Lal,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3068&id2=235,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3068,81394949,72143505,9251444,13%,,SUNDERNAGAR,0,Post Graduate,27,GEN,MANDI,BEAS RIVER REGION
Vinod Kumar,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3202&id2=30,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3202,9174095,1645877,7528218,457%,,NACHAN,1,12th Pass,28,SC,MANDI,BEAS RIVER REGION
Gulab Singh Thakur,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3163&id2=69,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3163,21051328,13846128,7205200,52%,,JOGINDERNAGAR,0,Graduate Professional,31,GEN,MANDI,BEAS RIVER REGION
Kuldip Kumar,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3087&id2=124,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3087,23663487,16459352,7204135,44%,PAN is Different,CHINTPURNI,0,Graduate,41,SC,UNA,BEAS RIVER REGION
Suresh Kumar Kashyap,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3176&id2=34,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3176,11771138,4693948,7077190,151%,,PACHHAD,0,Post Graduate,55,SC,SIRMOUR,SHIVALIK REGION
Prakash Chaudhary,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3433&id2=281,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3433,17827964,10887027,6940937,64%,,BALH,0,Post Graduate,34,SC,MANDI,BEAS RIVER REGION
Ravinder Singh,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3102&id2=103,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3102,16984000,10051000,6933000,69%,,DEHRA,1,Graduate,10,GEN,KANGRA,BEAS RIVER REGION
Jagjiwan Paul,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3243&id2=181,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3243,9438200,2684614,6753586,252%,,SULLAH,0,12th Pass,14,GEN,KANGRA,BEAS RIVER REGION
Sh. Mansa Ram,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3185&id2=39,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3185,18374833,12447187,5927646,48%,,KARSOG,0,Graduate,26,SC,MANDI,BEAS RIVER REGION
Bikram Singh Jaryal,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3071&id2=260,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3071,6448000,709086,5738914,809%,PAN was missing last time,BHATTIYAT,1,Graduate,5,GEN,CHAMBA,BEAS RIVER REGION
Satpal Singh Satti,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3061&id2=528,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3061,31422977,26815802,4607175,17%,,UNA,0,Post Graduate,44,GEN,UNA,BEAS RIVER REGION
Hans Raj,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3454&id2=222,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3454,5294137,700000,4594137,656%,,CHURAH,2,Post Graduate,1,SC,CHAMBA,BEAS RIVER REGION
Rajiv Saizal,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3187&id2=337,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3187,7709500,3115707,4593793,147%,,KASAULI,0,Graduate Professional,54,SC,SOLAN,SHIVALIK REGION
Bal Krishan Chauhan,IND,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3396&id2=57,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3396,18061322,14100322,3961000,28%,Party in last election was BJP,CHAMBA,1,Post Graduate,3,GEN,CHAMBA,BEAS RIVER REGION
Suresh Bhardwaj,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3374&id2=52,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3374,9353349,5554665,3798684,68%,,SHIMLA,0,Graduate Professional,63,GEN,SHIMLA,SHIMLA REGION
Bikram Singh,BJP,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3151&id2=420,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3151,7433840,5019085,2414755,48%,,JASWAN-PRAGPUR,1,Graduate Professional,11,GEN,KANGRA,BEAS RIVER REGION
Rajesh Dharmani,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3336&id2=75,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3336,9863447,8016802,1846645,23%,,GHUMARWIN,0,Post Graduate,47,GEN,BILASPUR,SHIVALIK REGION
Dhani Ram Shandil,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3091&id2=229,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3091,10747409,21337955,-10590546,-50%,,SOLAN,0,Doctorate,53,SC,SOLAN,SHIVALIK REGION
Virbhadra Singh,INC,http://myneta.info/HimachalPradesh2017/index.php?action=affidavitComparison&myneta_folder2=hp2012&id1=3055&id2=221,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3055,305215611,340014971,-34799360,-10%,,ARKI,1,Post Graduate,50,GEN,SOLAN,SHIVALIK REGION
