candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Maheshwar Singh,http://myneta.info/hp2012/candidate.php?candidate_id=307,KULLU,HLP,0,12th Pass,50997060,0,50997060,23,GEN,KULLU,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Mahinder  Pal,http://myneta.info/hp2012/candidate.php?candidate_id=366,KUTLEHAR,AITC,0,Post Graduate,479000,0,479000,45,GEN,UNA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,All India Trinamool Congress
Mahinder Singh,http://myneta.info/hp2012/candidate.php?candidate_id=370,BHARMOUR (ST),IND,0,Graduate,753400,45000,708400,2,ST,CHAMBA,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Malender Rajan,http://myneta.info/hp2012/candidate.php?candidate_id=298,INDORA (SC),IND,0,Post Graduate,7884267,1750000,6134267,7,SC,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Manohar Lal Dhiman,http://myneta.info/hp2012/candidate.php?candidate_id=358,INDORA (SC),IND,0,10th Pass,3475606,100000,3375606,7,SC,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Manoj Kumar,http://myneta.info/hp2012/candidate.php?candidate_id=447,SULLAH,LJP,0,10th Pass,142000,0,142000,14,GEN,KANGRA,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Lok Janshakti Party
Mansa Ram,http://myneta.info/hp2012/candidate.php?candidate_id=39,KARSOG (SC),INC,0,Graduate,12447187,4829330,7617857,26,SC,MANDI,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Mast Ram,http://myneta.info/hp2012/candidate.php?candidate_id=521,KARSOG (SC),IND,0,Graduate Professional,3647000,1030000,2617000,26,SC,MANDI,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Mohan Lal,http://myneta.info/hp2012/candidate.php?candidate_id=391,ROHRU (SC),INC,0,Graduate Professional,5955000,0,5955000,67,SC,SHIMLA,SHIMLA REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Mohan Lal,http://myneta.info/hp2012/candidate.php?candidate_id=105,DEHRA,HiSP,0,10th Pass,378000,40000,338000,10,GEN,KANGRA,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Swabhiman Party
Mohan Lal Chauhan,http://myneta.info/hp2012/candidate.php?candidate_id=231,SOLAN (SC),IND,0,8th Pass,257300,15000,242300,53,SC,SOLAN,SHIVALIK REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Mohinder Singh,http://myneta.info/hp2012/candidate.php?candidate_id=355,JAWALAMUKHI,IND,0,10th Pass,2740000,940000,1800000,12,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Moti Ram,http://myneta.info/hp2012/candidate.php?candidate_id=98,SARKAGHAT,IND,2,5th Pass,2000000,1000000,1000000,35,GEN,MANDI,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Mukesh Agnihotri,http://myneta.info/hp2012/candidate.php?candidate_id=130,HAROLI,INC,0,Post Graduate,16607786,536673,16071113,43,GEN,UNA,BEAS RIVER REGION,true,true,false,Male,http://myneta.info/hp2012/index.php?action=affidavitComparison&myneta_folder2=him2007&id1=130&id2=79,16607786,4406068,12201718,277%,NA,Indian National Congress
Mukesh Choudhari,http://myneta.info/hp2012/candidate.php?candidate_id=131,HAROLI,BSP,2,Graduate,1573000,0,1573000,43,GEN,UNA,BEAS RIVER REGION,true,true,true,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Mulak Raj,http://myneta.info/hp2012/candidate.php?candidate_id=47,BAIJNATH (SC),BJP,0,10th Pass,695000,414000,281000,20,SC,KANGRA,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Bharatiya Janata Party
Mulkh Raj Sharma,http://myneta.info/hp2012/candidate.php?candidate_id=169,NAGROTA,HiSP,0,Graduate Professional,2451000,750000,1701000,15,GEN,KANGRA,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Swabhiman Party
Nand Lal,http://myneta.info/hp2012/candidate.php?candidate_id=559,GHUMARWIN,AITC,0,10th Pass,4525000,200000,4325000,47,GEN,BILASPUR,SHIVALIK REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,All India Trinamool Congress
