candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
P.Sanjeevappa,http://myneta.info/ap09/candidate.php?candidate_id=2029,RAPTADU,B. C. United Front,0,Graduate,15000,0,15000,274,GEN,ANANTAPUR,RAYALA SEEMA,,FALSE,FALSE,Male
A Parshuram,http://myneta.info/ap09/candidate.php?candidate_id=1277,KARIMNAGAR,BSP,0,Graduate,90000,0,90000,26,GEN,KARIMANAGAR,TELANGANA,,FALSE,FALSE,Male
A Prabhu,http://myneta.info/ap09/candidate.php?candidate_id=871,YELLAREDDY,BSP,0,10th Pass,52000,0,52000,15,GEN,NIZAMABAD,TELANGANA,,FALSE,FALSE,Male
A. Yadaiah,http://myneta.info/ap09/candidate.php?candidate_id=1495,LAL BAHADUR NAGAR,BSP,0,8th Pass,0,0,0,49,GEN,RANGAREDDI,TELANGANA,,FALSE,FALSE,Male
Abdul Bhari,http://myneta.info/ap09/candidate.php?candidate_id=222,MUDHOLE,BSP,0,Literate,1750000,0,1750000,10,GEN,ADILABAD,TELANGANA,,FALSE,FALSE,Male
Abdul Mujeeb Zakir,http://myneta.info/ap09/candidate.php?candidate_id=1564,SERILINGAMPALLY,BSP,0,Post Graduate,30000,0,30000,52,GEN,RANGAREDDI,TELANGANA,,TRUE,FALSE,Male
Addanki Venkataramana Murthy,http://myneta.info/ap09/candidate.php?candidate_id=2402,PALAMANER,BSP,0,Graduate,305000,0,305000,293,GEN,CHITTOOR,RAYALA SEEMA,,FALSE,FALSE,Male
Albert Bennoy,http://myneta.info/ap09/candidate.php?candidate_id=2937,BAPATLA,BSP,0,Not Given,0,0,0,211,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
Aleti Malliah,http://myneta.info/ap09/candidate.php?candidate_id=3063,MACHERLA,BSP,0,12th Pass,460000,0,460000,220,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
Anand,http://myneta.info/ap09/candidate.php?candidate_id=287,JADCHERLA,BSP,0,10th Pass,90000,0,90000,75,GEN,MAHABUBNAGAR,TELANGANA,,TRUE,FALSE,Male
ANATHARAMULU DARIPALLI,http://myneta.info/ap09/candidate.php?candidate_id=100,PALAIR,BSP,0,12th Pass,36078300,1148242,34930058,113,GEN,KHAMMAM,TELANGANA,,FALSE,FALSE,Male
Anisupreethi Dommeti,http://myneta.info/ap09/candidate.php?candidate_id=2621,PRATHIPADU,BSP,0,Graduate Professional,1834000,0,1834000,155,GEN,EAST GODAVARI,COASTAL ANDHRA,,FALSE,FALSE,Female
Arji Siva Prasad,http://myneta.info/ap09/candidate.php?candidate_id=1631,BOBBILI,BSP,0,Not Given,0,0,0,133,GEN,VIZIANAGARAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Azeez Abdul Mohammed,http://myneta.info/ap09/candidate.php?candidate_id=596,PALAKURTHI,BSP,1,Graduate,125000,0,125000,100,GEN,WARANGAL,TELANGANA,,FALSE,FALSE,Male
B Ramesh Yadav,http://myneta.info/ap09/candidate.php?candidate_id=1207,BALKONDA,BSP,0,10th Pass,40000,0,40000,19,GEN,NIZAMABAD,TELANGANA,,FALSE,FALSE,Male
B. Nagabhushanamma,http://myneta.info/ap09/candidate.php?candidate_id=2148,MADANAPALLE,BSP,0,Graduate,1605000,0,1605000,283,GEN,CHITTOOR,RAYALA SEEMA,,FALSE,FALSE,Female
B. Venkata Narayana,http://myneta.info/ap09/candidate.php?candidate_id=2017,KALYANDURG,BSP,0,Not Given,0,0,0,273,GEN,ANANTAPUR,RAYALA SEEMA,,FALSE,FALSE,Male
B.Laxman,http://myneta.info/ap09/candidate.php?candidate_id=245,NIZAMABAD (URBAN),BSP,0,Graduate,1547083,0,1547083,17,GEN,NIZAMABAD,TELANGANA,,TRUE,FALSE,Male
B.Nagendra,http://myneta.info/ap09/candidate.php?candidate_id=2024,RAPTADU,BSP,0,Graduate Professional,100000,0,100000,274,GEN,ANANTAPUR,RAYALA SEEMA,,FALSE,FALSE,Male
BADINI NARSIMHA GOUD,http://myneta.info/ap09/candidate.php?candidate_id=494,NALGONDA,BSP,0,Graduate,13208000,2000000,11208000,92,GEN,NALGONDA,TELANGANA,,TRUE,FALSE,Male
Badiya Umapathi,http://myneta.info/ap09/candidate.php?candidate_id=768,ICHCHAPURAM,BSP,0,Post Graduate,1371970,0,1371970,120,GEN,SRIKAKULAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Badugu Indira,http://myneta.info/ap09/candidate.php?candidate_id=2548,KONDAPI (SC),BSP,0,12th Pass,640400,0,640400,229,SC,PRAKASAM,COASTAL ANDHRA,,FALSE,FALSE,Female
Bakam Santosh Kumar,http://myneta.info/ap09/candidate.php?candidate_id=1267,PEDDAPALLE,BSP,1,10th Pass,101000,0,101000,25,GEN,KARIMANAGAR,TELANGANA,,TRUE,FALSE,Male
BALAGA BALAKRISHNAMURTHY,http://myneta.info/ap09/candidate.php?candidate_id=791,SRIKAKULAM,BSP,0,Not Given,0,0,0,124,GEN,SRIKAKULAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Balum Seshadri Yadav,http://myneta.info/ap09/candidate.php?candidate_id=2139,PILERU,BSP,1,12th Pass,170000,79,169921,282,GEN,CHITTOOR,RAYALA SEEMA,,FALSE,TRUE,Male
Banavat Ramulu Naik,http://myneta.info/ap09/candidate.php?candidate_id=395,KALWAKURTHY,BSP,0,10th Pass,1090000,15000,1075000,83,GEN,MAHABUBNAGAR,TELANGANA,,FALSE,FALSE,Male
Bandaru Nageswara Rao,http://myneta.info/ap09/candidate.php?candidate_id=124,PINAPAKA (ST),BSP,0,Illiterate,147200,0,147200,110,ST,KHAMMAM,TELANGANA,,FALSE,FALSE,Male
BAPANA PALLY RAMA SWAMY,http://myneta.info/ap09/candidate.php?candidate_id=1216,CHEVELLA (SC),BSP,0,Not Given,1820000,18000000,-16180000,53,SC,RANGAREDDI,TELANGANA,,TRUE,FALSE,Male
Baswagalla Siddaiah,http://myneta.info/ap09/candidate.php?candidate_id=576,JANGOAN,BSP,0,Graduate,388200,0,388200,98,GEN,WARANGAL,TELANGANA,,FALSE,FALSE,Male
Bathula Lakshmana Rao,http://myneta.info/ap09/candidate.php?candidate_id=2751,RAZOLE (SC),BSP,0,Graduate,3397060,350000,3047060,164,SC,EAST GODAVARI,COASTAL ANDHRA,,FALSE,FALSE,Male
