candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Subhashchandragouda  Bhimanagouda Patil,http://myneta.info/karnataka2013/candidate.php?candidate_id=2158,NAVALGUND,IND,0,Graduate,8259100,955000,7304100,69,GEN,DHARWAD,BELGAUM DIVISION,false,false,false,Male,,,,,,
Subhramani,http://myneta.info/karnataka2013/candidate.php?candidate_id=1906,BAGEPALLI,IND,0,Not Given,60000,0,60000,140,GEN,CHIKBALLAPUR,BANGALORE DIVISION,false,false,false,Male,,,,,,
Subramani T,http://myneta.info/karnataka2013/candidate.php?candidate_id=1219,CHAMRAJAPET,IND,0,8th Pass,140000,0,140000,168,GEN,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
Sudarshan.K.G.,http://myneta.info/karnataka2013/candidate.php?candidate_id=1138,TIPTUR,BSRC,0,12th Pass,8800000,100000,8700000,129,GEN,TUMKUR,BANGALORE DIVISION,false,false,false,Male,,,,,,
Sudhabai Malleshnaika,http://myneta.info/karnataka2013/candidate.php?candidate_id=830,HOSADURGA,JD(S),0,Not Given,28386460,3088000,25298460,101,GEN,CHITRADURGA,BANGALORE DIVISION,false,false,false,Female,,,,,,
Sudhakar Kanamadi,http://myneta.info/karnataka2013/candidate.php?candidate_id=1814,NAGTHAN,BSP,0,Graduate,11801000,581000,11220000,31,SC,BIJAPUR,BELGAUM DIVISION,false,true,false,Male,,,,,,
Sudhakar Kira Joglekar,http://myneta.info/karnataka2013/candidate.php?candidate_id=2953,SIRSI,BSP,0,12th Pass,5206600,576336,4630264,80,GEN,UTTARA KANNADA,BELGAUM DIVISION,false,true,false,Male,,,,,,
Sudhakara,http://myneta.info/karnataka2013/candidate.php?candidate_id=1916,CHIKKABALLAPUR,IND,0,Graduate Professional,805000,533000,272000,141,GEN,CHIKBALLAPUR,BANGALORE DIVISION,false,false,false,Male,,,,,,
Sudhakara D,http://myneta.info/karnataka2013/candidate.php?candidate_id=827,HIRIYUR,INC,3,Graduate,297797492,127024873,170772619,100,GEN,CHITRADURGA,BANGALORE DIVISION,true,true,true,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=827&id2=1021,297797492,124689553,173107939,139%,Party in last election was IND
Suhail Dil Nawaz,http://myneta.info/karnataka2013/candidate.php?candidate_id=2433,KOLAR,IND,0,Post Graduate,175000,0,175000,148,GEN,KOLAR,BANGALORE DIVISION,true,false,false,Male,,,,,,
Suhas S.L.,http://myneta.info/karnataka2013/candidate.php?candidate_id=2869,TUMKUR CITY,IND,0,Graduate,118000,0,118000,132,GEN,TUMKUR,BANGALORE DIVISION,false,true,false,Male,,,,,,
Sujit Dinakar Mhetri,http://myneta.info/karnataka2013/candidate.php?candidate_id=3020,NIPPANI,BSP,0,Post Graduate,170000,0,170000,1,GEN,BELGAUM,BELGAUM DIVISION,false,true,false,Male,,,,,,
Sukhesha Kumar,http://myneta.info/karnataka2013/candidate.php?candidate_id=585,BELTHANGADY,KJP,3,10th Pass,102024,0,102024,200,GEN,DAKSHINA KANNADA,MYSORE DIVISION,false,false,true,Male,,,,,,
Sukundha V.,http://myneta.info/karnataka2013/candidate.php?candidate_id=1531,ANEKAL,Karnataka Rajya Raita  Sangha,0,Not Given,400000,0,400000,177,SC,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
Suleman. Jamalsab. Baligar,http://myneta.info/karnataka2013/candidate.php?candidate_id=2383,HIREKERUR,BSP,0,5th Pass,6920000,200000,6720000,86,GEN,HAVERI,BELGAUM DIVISION,false,false,false,Male,,,,,,
Sulochana,http://myneta.info/karnataka2013/candidate.php?candidate_id=1768,AURAD,IND,0,5th Pass,3500000,0,3500000,52,SC,BIDAR,GULBARGA REGION,false,false,false,Female,,,,,,
Sumangala Mysore,http://myneta.info/karnataka2013/candidate.php?candidate_id=546,SHIGGAON,JD(S),1,Graduate Professional,109316487,2744464,106572023,83,GEN,HAVERI,BELGAUM DIVISION,true,true,true,Female,,,,,,
Sumitra Iyengar,http://myneta.info/karnataka2013/candidate.php?candidate_id=1145,PADMANABANAGAR,LSP,0,Post Graduate,19257000,0,19257000,171,GEN,BANGALORE,BANGALORE DIVISION,true,true,false,Female,,,,,,
Sunagar Sharanappa Tippanna,http://myneta.info/karnataka2013/candidate.php?candidate_id=9,SINDGI,INC,1,12th Pass,48529934,3671014,44858920,33,GEN,BIJAPUR,BELGAUM DIVISION,true,true,false,Male,,,,,,
Sunanda L Patil,http://myneta.info/karnataka2013/candidate.php?candidate_id=719,BELGAUM RURAL,KJP,0,12th Pass,20388024,1436548,18951476,13,GEN,BELGAUM,BELGAUM DIVISION,false,false,false,Female,,,,,,
Sundahally Somashekhara,http://myneta.info/karnataka2013/candidate.php?candidate_id=2555,MELUKOTE,HND,0,Others,32715000,2200000,30515000,188,GEN,MANDYA,MYSORE DIVISION,true,true,false,Male,,,,,,
Sundar Babasaheb Patil,http://myneta.info/karnataka2013/candidate.php?candidate_id=596,NIPPANI,BSRC,2,Graduate,15385000,535000,14850000,1,GEN,BELGAUM,BELGAUM DIVISION,true,true,true,Male,,,,,,
Sundarappa,http://myneta.info/karnataka2013/candidate.php?candidate_id=1521,BANGALORE SOUTH,JD(U),0,Graduate,2250000,500000,1750000,176,GEN,BANGALORE,BANGALORE DIVISION,true,true,false,Male,,,,,,
Sunil Kumar  Meghanath,http://myneta.info/karnataka2013/candidate.php?candidate_id=1343,PULAKESHINAGAR,NPP,0,12th Pass,30000,0,30000,159,SC,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
Sunil Kumar. S,http://myneta.info/karnataka2013/candidate.php?candidate_id=1176,JAYANAGAR,IND,0,Graduate,13735000,0,13735000,173,GEN,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
Sunil Mothilal,http://myneta.info/karnataka2013/candidate.php?candidate_id=2294,CHINCHOLI,IND,0,Post Graduate,1595,0,1595,42,SC,GULBARGA,GULBARGA REGION,false,true,false,Male,,,,,,
Sunil Y Vallyapur,http://myneta.info/karnataka2013/candidate.php?candidate_id=187,CHINCHOLI,KJP,0,12th Pass,64365692,4488890,59876802,42,SC,GULBARGA,GULBARGA REGION,true,true,false,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=187&id2=575,64365692,9601427,54764265,570%,PAN is Different Party in last election was BJP
