candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Gadam Ete,http://myneta.info/an2009/candidate.php?candidate_id=76,Along west,INC,0,12th Pass,12944000,0,12944000,30,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=76&id2=78,12944000,2244178,10699822,477%,
Gegong Apang,http://myneta.info/an2009/candidate.php?candidate_id=89,Tuting_Yingkiong,INC,0,Graduate,79239061,0,79239061,34,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=89&id2=110,79239061,93650000,-14410939,-15%,Age Difference=1
Gojen Gadi,http://myneta.info/an2009/candidate.php?candidate_id=73,Basar,INC,0,Literate,192160000,0,192160000,29,ST,NA,NA,,false,false,Male,,,,,,
Gumke Riba,http://myneta.info/an2009/candidate.php?candidate_id=69,Likabali,NCP,0,Graduate,4470000,0,4470000,28,ST,NA,NA,,false,false,Male,,,,,,
Hamjong Tangha,http://myneta.info/an2009/candidate.php?candidate_id=136,Changlang South,NCP,0,Not Given,51700,0,51700,52,ST,NA,NA,,false,false,Male,,,,,,
Happa Taidong,http://myneta.info/an2009/candidate.php?candidate_id=139,Changlang North,NCP,0,8th Pass,685000,0,685000,53,ST,NA,NA,,false,false,Male,,,,,,
Hari Notung,http://myneta.info/an2009/candidate.php?candidate_id=22,SEPPA WEST,INC,0,10th Pass,36970000,0,36970000,11,ST,NA,NA,,false,false,Male,,,,,,
J.K.Panggeng,http://myneta.info/an2009/candidate.php?candidate_id=103,Mariyang_Geku,INC,0,Graduate Professional,6324000,0,6324000,40,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=103&id2=98,6324000,3989000,2335000,59%,Age Difference=7  Party in last election was Arunachal Congress
JAMBEY TASHI,http://myneta.info/an2009/candidate.php?candidate_id=161,LUMLA,INC,0,Graduate,26250000,0,26250000,1,ST,NA,NA,,false,false,Male,,,,,,
James Techi Tara,http://myneta.info/an2009/candidate.php?candidate_id=125,Lekang,NCP,0,Graduate,130039795,0,130039795,48,ST,NA,NA,,false,false,Male,,,,,,
Japu Deru,http://myneta.info/an2009/candidate.php?candidate_id=13,Bomdila,NCP,0,10th Pass,15170832,0,15170832,7,ST,NA,NA,,false,false,Male,,,,,,
Jarbom Gamlin,http://myneta.info/an2009/candidate.php?candidate_id=68,Liromoba,INC,0,Graduate Professional,27300000,0,27300000,27,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=68&id2=68,27300000,9555000,17745000,186%,
Jarkar Gamlin,http://myneta.info/an2009/candidate.php?candidate_id=78,Along East,INC,0,10th Pass,31164838,0,31164838,31,ST,NA,NA,,true,false,Male,,,,,,
Jitbo Aboh,http://myneta.info/an2009/candidate.php?candidate_id=148,Khonsa West,NCP,0,10th Pass,493000,137233,355767,56,ST,NA,NA,,false,false,Female,,,,,,
Jomde Kena,http://myneta.info/an2009/candidate.php?candidate_id=70,Likabali,INC,0,10th Pass,19910000,0,19910000,28,ST,NA,NA,,false,false,Male,,,,,,
JOMIN TAYENG,http://myneta.info/an2009/candidate.php?candidate_id=4,Dambuk,NCP,0,Graduate Professional,6058638,0,6058638,42,ST,NA,NA,,false,false,Male,,,,,,
Jotam Toko Takam,http://myneta.info/an2009/candidate.php?candidate_id=37,Yachuli,PPA,0,12th Pass,0,0,0,16,ST,NA,NA,,false,false,Male,,,,,,
Kahfa Bengia,http://myneta.info/an2009/candidate.php?candidate_id=50,Koloriang,NCP,0,12th Pass,12570000,0,12570000,21,ST,NA,NA,,false,false,Male,,,,,,
Kalikho Pul,http://myneta.info/an2009/candidate.php?candidate_id=115,Hayuliang,INC,0,Graduate,10356500,0,10356500,45,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=115&id2=88,10356500,6556500,3800000,58%,
Kaling Jerang,http://myneta.info/an2009/candidate.php?candidate_id=91,Pangin,NCP,0,Graduate,1500000,0,1500000,35,ST,NA,NA,,false,false,Male,,,,,,
Kaling Moyong,http://myneta.info/an2009/candidate.php?candidate_id=98,Pasighat East,NCP,0,12th Pass,9485865,0,9485865,38,ST,NA,NA,,false,false,Male,,,,,,
Kameng Dolo,http://myneta.info/an2009/candidate.php?candidate_id=18,Chayangtajo,INC,0,10th Pass,183715000,0,183715000,9,ST,NA,NA,,false,false,Male,,,,,,
Kamlung Mosang,http://myneta.info/an2009/candidate.php?candidate_id=132,Miao,INC,0,Graduate Professional,3045271,0,3045271,50,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=132&id2=76,3045271,787373,2257898,287%,
Kamthok Lowang,http://myneta.info/an2009/candidate.php?candidate_id=146,Khonsa East,AITC,0,12th Pass,204798,0,204798,55,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=146&id2=42,204798,125000,79798,64%,Party in last election was IND
Kapnai Wangsa,http://myneta.info/an2009/candidate.php?candidate_id=159,Pongchao Wakka,NCP,0,10th Pass,760500,0,760500,60,ST,NA,NA,,false,false,Male,,,,,,
Kardu Taipodia,http://myneta.info/an2009/candidate.php?candidate_id=71,Likabali,PPA,0,Graduate,310000,0,310000,28,ST,NA,NA,,false,false,Male,,,,,,
Karikho Kri,http://myneta.info/an2009/candidate.php?candidate_id=112,Tezu,INC,0,10th Pass,13862842,100213,13762629,44,ST,NA,NA,,true,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=112&id2=90,13862842,4815507,9047335,188%,Age Difference=3 PAN was missing last time Party in last election was IND
Karma Jerang,http://myneta.info/an2009/candidate.php?candidate_id=83,Rumgong,JD (U),0,Graduate,2890831,0,2890831,32,ST,NA,NA,,false,false,Male,,,,,,
Karya Bagang,http://myneta.info/an2009/candidate.php?candidate_id=19,Chayangtajo,AITC,0,5th Pass,404663,0,404663,9,ST,NA,NA,,false,false,Female,,,,,,
Katan Komboh,http://myneta.info/an2009/candidate.php?candidate_id=90,Tuting_Yingkiong,BJP,1,12th Pass,4356251,0,4356251,34,ST,NA,NA,,false,false,Male,,,,,,
Kenyir Ringu,http://myneta.info/an2009/candidate.php?candidate_id=93,Nari Koyu,NCP,0,10th Pass,4753543,0,4753543,36,ST,NA,NA,,false,false,Female,,,,,,
Khuje Drai,http://myneta.info/an2009/candidate.php?candidate_id=116,Hayuliang,NCP,0,8th Pass,50068,38097,11971,45,ST,NA,NA,,false,false,Male,,,,,,
Khurnral Lungphi,http://myneta.info/an2009/candidate.php?candidate_id=129,Bordumsa_Diyum,NCP,0,Post Graduate,1000000,0,1000000,49,GEN,NA,NA,,false,false,Male,,,,,,
Kipa Babu,http://myneta.info/an2009/candidate.php?candidate_id=26,Itanagar,INC,0,Post Graduate,15982125,0,15982125,13,ST,NA,NA,,true,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=26&id2=29,15982125,870600,15111525,1736%,"PAN was missing last time Party in last election was BJP  page_missing for immovable  asset in Arunachal Pradesh 2009 ,"
Koruna Morang,http://myneta.info/an2009/candidate.php?candidate_id=128,Lekang,IND,0,8th Pass,5090000,0,5090000,48,ST,NA,NA,,false,false,Male,,,,,,
Kumar Waii,http://myneta.info/an2009/candidate.php?candidate_id=16,Bameng,INC,1,10th Pass,27300000,0,27300000,8,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=16&id2=15,27300000,7072000,20228000,286%,
Kumsi Sidisow,http://myneta.info/an2009/candidate.php?candidate_id=12,THRIZINO_BURAGAON,PPA,0,Graduate,10817452,0,10817452,6,ST,NA,NA,,false,false,Male,,,,,,
Kuru Tai,http://myneta.info/an2009/candidate.php?candidate_id=39,Ziro Hapoli,BJP,0,12th Pass,3556,88000,-84444,17,ST,NA,NA,,false,false,Male,,,,,,
Langwang Sumpa,http://myneta.info/an2009/candidate.php?candidate_id=149,Khonsa West,BJP,0,8th Pass,365000,0,365000,56,ST,NA,NA,,false,false,Male,,,,,,
Larbin Nasi,http://myneta.info/an2009/candidate.php?candidate_id=127,Lekang,AITC,0,Graduate,1550000,0,1550000,48,ST,NA,NA,,false,false,Male,,,,,,
