candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Addala Satyanarayana,http://myneta.info/andhra2014/candidate.php?candidate_id=3637,TADEPALLIGUDEM,Pyramid Party of India,0,10th Pass,1593528,0,1593528,181,GEN,WEST GODAVARI,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Addanki Chandrakala,http://myneta.info/andhra2014/candidate.php?candidate_id=4307,CHIRALA,IND,0,10th Pass,415000,30000,385000,225,GEN,PRAKASAM,COASTAL ANDHRA,FALSE,FALSE,FALSE,Female,,,,,,
Addanki Mukteswara Rao,http://myneta.info/andhra2014/candidate.php?candidate_id=4130,ANAPARTHY,INC,0,8th Pass,24396000,5450000,18946000,159,GEN,EAST GODAVARI,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Addepalli Geetha,http://myneta.info/andhra2014/candidate.php?candidate_id=3481,NELLORE CITY,Pyramid Party of India,0,Post Graduate,45000,0,45000,236,GEN,NELLORE,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Adhikaribabu Mohmmad,http://myneta.info/andhra2014/candidate.php?candidate_id=4183,PRATHIPADU,AAP,0,Graduate,260000,0,260000,155,GEN,EAST GODAVARI,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Adi Babu Bheemisetty,http://myneta.info/andhra2014/candidate.php?candidate_id=3828,ELAMANCHILI,Jai Samaikyandhra Party,0,Graduate,0,0,0,151,GEN,VISHAKAPATNAM,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Adi Hussain Reddy Ummadi,http://myneta.info/andhra2014/candidate.php?candidate_id=4453,BANAGANAPALLE,IND,1,12th Pass,1360000,0,1360000,259,GEN,KURNOOL,RAYALA SEEMA,FALSE,FALSE,FALSE,Male,,,,,,
Adi Suryanarayana,http://myneta.info/andhra2014/candidate.php?candidate_id=2458,PRODDATUR,Lok Satta Party,0,Graduate,588902,0,588902,251,GEN,KADAPA,RAYALA SEEMA,TRUE,TRUE,FALSE,Male,,,,,,
Adinarayana Reddy Chadipiralla,http://myneta.info/andhra2014/candidate.php?candidate_id=2393,JAMMALAMADUGU,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,20969788,3400000,17569788,250,GEN,KADAPA,RAYALA SEEMA,TRUE,TRUE,FALSE,Male,http://myneta.info/andhra2014/index.php?action=affidavitComparison&myneta_folder2=ap09&id1=2393&id2=2360,20969788,9137940,11831848,129%,Party in last election was INC
Adivipalle Krishnappa,http://myneta.info/andhra2014/candidate.php?candidate_id=3783,THAMBALLAPALLE,Pyramid Party of India,0,10th Pass,1159000,0,1159000,281,GEN,CHITTOOR,RAYALA SEEMA,FALSE,TRUE,FALSE,Male,,,,,,
Afgan Mohammad Ali Khan,http://myneta.info/andhra2014/candidate.php?candidate_id=2155,MADANAPALLE,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,582340,0,582340,283,GEN,CHITTOOR,RAYALA SEEMA,FALSE,FALSE,FALSE,Male,,,,,,
Agarwal Naresh (Lallu),http://myneta.info/andhra2014/candidate.php?candidate_id=4099,ICHCHAPURAM,INC,0,Graduate,32725935,2838000,29887935,120,GEN,SRIKAKULAM,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Ahamed Ali Mujhed Syed,http://myneta.info/andhra2014/candidate.php?candidate_id=3707,NIDADAVOLE,IND,0,Graduate Professional,313000,0,313000,174,GEN,WEST GODAVARI,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Ahmed Ali Khan,http://myneta.info/andhra2014/candidate.php?candidate_id=4342,KURNOOL,INC,0,12th Pass,127882313,0,127882313,256,GEN,KURNOOL,RAYALA SEEMA,TRUE,TRUE,FALSE,Male,,,,,,
Aithabathula Ananda Rao,http://myneta.info/andhra2014/candidate.php?candidate_id=3101,AMALAPURAM,TDP,1,Post Graduate,1594600,438500,1156100,163,SC,EAST GODAVARI,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Ajitha Rao Budala,http://myneta.info/andhra2014/candidate.php?candidate_id=4400,YERRAGONDAPALEM,TDP,0,Post Graduate,11715148,0,11715148,221,SC,PRAKASAM,COASTAL ANDHRA,FALSE,TRUE,FALSE,Female,,,,,,
Akisetty Udaya Bhaskara Rao,http://myneta.info/andhra2014/candidate.php?candidate_id=2721,PONNUR,IND,0,10th Pass,66500,0,66500,207,GEN,GUNTUR,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Akkala Bhramaramba,http://myneta.info/andhra2014/candidate.php?candidate_id=4305,CHIRALA,IND,0,Graduate Professional,288000,30000,258000,225,GEN,PRAKASAM,COASTAL ANDHRA,FALSE,FALSE,FALSE,Female,,,,,,
Akkala Brahmananda Reddy,http://myneta.info/andhra2014/candidate.php?candidate_id=4306,CHIRALA,IND,0,10th Pass,500000,0,500000,225,GEN,PRAKASAM,COASTAL ANDHRA,FALSE,FALSE,FALSE,Male,,,,,,
