candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
ETHILSON CH. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=288,Dalamgiri,BJP,0,10th Pass,65331,61297,4034,56,ST,NA,NA,,false,false,Male
FANTIN KITBOK RYNTATHIANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=167,Mawthengkut,UDP,0,Graduate,504500,0,504500,36,ST,NA,NA,,false,false,Male
FASTERWELL MARBANIANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=317,Nongspung,CPI,0,5th Pass,343405,0,343405,13,ST,NA,NA,,false,false,Male
FLORENCE SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=347,Baghmara,UDP,0,12th Pass,2460000,0,2460000,37,ST,NA,NA,,false,false,Female
FORWARD LYNGDOH MAWLONG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=218,Sohiong,NCP,0,Not Given,155508,100000,55508,14,ST,NA,NA,,false,false,Male
FOUNDER STRONG CAJEE,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=61,Mawlai,INC,0,Graduate,7026058,15169,7010889,23,ST,NA,NA,,false,false,Male
FRANCIS K. MAWLOT,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=164,Nongstoin,UDP,0,10th Pass,555000,0,555000,34,ST,NA,NA,,false,false,Male
FRANCIS PONDIT R. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=41,Mawthengkut,INC,0,Graduate,1359362,0,1359362,36,ST,NA,NA,,false,false,Male
FRANKENSTEIN  MOMIN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=43,Mendipathar,INC,0,Post Graduate,5082000,0,5082000,41,ST,NA,NA,,false,false,Male
GANOLD STONE MASSAR,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=68,Mawkhar,UDP,0,Graduate Professional,6484470,0,6484470,20,ST,NA,NA,,false,false,Male
GENTILLA R. MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=345,Baghmara,IND,0,Graduate,2150000,275175,1874825,37,ST,NA,NA,,true,false,Female
