candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Budhman Singh Dhurve,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=968,MARWAHI,IND,0,10th Pass,85000,0,85000,24,ST,BILASPUR,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chait Ram Gangvanshi,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=713,SANJARI BALOD,IND,0,12th Pass,810000,400000,410000,59,GEN,BALOD,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chaitan Kumar Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1092,KASDOL,IND,0,12th Pass,1930189,20000,1910189,44,GEN,BALODABAZAR,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Chaitram Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1111,BHATAPARA,INC,0,12th Pass,16987380,1473574,15513806,46,GEN,BALODABAZAR,CHHATTISGARH PLAINS,false,false,false,Male,http://myneta.info/chhattisgarh2013/index.php?action=affidavitComparison&myneta_folder2=2008Chhattisgarh&id1=1111&id2=289,16987380,11538233,5449147,47%,Age Difference=9
Chakradhar (Chiku) Mishra,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=886,DURG-RURAL,IND,2,12th Pass,480397,208000,272397,63,GEN,DURG,CHHATTISGARH PLAINS,true,true,true,Male,,,,,,
Chakradhari Singh,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=519,LUNDRA,NCP,0,12th Pass,2427700,57000,2370700,9,ST,SURGUJA,NOTHERN HILLS,false,true,false,Male,,,,,,
Chalu Ram Khande,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=439,CHANDRAPUR,Hindustan Janata Party,0,12th Pass,258000,0,258000,36,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Chamaru Ram Yadaw,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=751,SAKTI,IND,0,Literate,201000,0,201000,35,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Champa Devi Pawle,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=405,BHARATPUR-SONHAT,BJP,0,10th Pass,10780118,0,10780118,1,ST,KORIA,NOTHERN HILLS,false,false,false,Female,,,,,,
Champa Lal Patel,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=195,KHALLARI,IND,0,Graduate,1953880,8935,1944945,41,GEN,MAHASAMUND,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
