candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
H. Sunep Phom,http://myneta.info/nagaland2013/candidate.php?candidate_id=51,DIMAPUR-I,IND,0,10th Pass,2306490,0,2306490,1,GEN,DIMAPUR,NA,false,true,false,Male,,,,,,
Hatpha Wangnao,http://myneta.info/nagaland2013/candidate.php?candidate_id=82,TIZIT,NCP,0,Graduate,200000,0,200000,41,ST,MON,NA,false,true,false,Male,,,,,,
Hukiye,http://myneta.info/nagaland2013/candidate.php?candidate_id=61,AGHUNATO,INC,0,Graduate,16214000,0,16214000,34,ST,ZUNHEBOTO,NA,false,true,false,Male,,,,,,
Huzo Meru,http://myneta.info/nagaland2013/candidate.php?candidate_id=111,WESTERN ANGAMI,IND,0,Post Graduate,2234320,0,2234320,8,ST,KOHIMA,NA,false,false,false,Male,,,,,,
I. Chubatangit Jamir,http://myneta.info/nagaland2013/candidate.php?candidate_id=37,TULI,INC,0,Graduate,3250000,0,3250000,21,ST,MOKOKCHUNG,NA,false,true,false,Male,,,,,,
I. Imkong,http://myneta.info/nagaland2013/candidate.php?candidate_id=122,JANGPETKONG,INC,0,Graduate,182377083,0,182377083,29,ST,MOKOKCHUNG,NA,false,true,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=122&id2=89,182377083,143222828,39154255,27%,PAN was missing last time
I.N. Mongba,http://myneta.info/nagaland2013/candidate.php?candidate_id=159,TUENSANG SADAR-II,INC,0,10th Pass,4504446,0,4504446,54,ST,TUENSANG,NA,false,false,false,Male,,,,,,
Iherie Ndang,http://myneta.info/nagaland2013/candidate.php?candidate_id=151,PEREN,INC,0,Graduate,28772766,0,28772766,7,ST,PEREN,NA,false,false,false,Male,,,,,,
Imkong L. Imchen,http://myneta.info/nagaland2013/candidate.php?candidate_id=55,KORIDANG,NPF,0,Post Graduate,22324887,0,22324887,28,ST,MOKOKCHUNG,NA,false,false,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=55&id2=91,22324887,12036000,10288887,85%,
Imlitemsu,http://myneta.info/nagaland2013/candidate.php?candidate_id=124,ALONGTAKI,INC,0,Graduate,15045000,0,15045000,30,ST,MOKOKCHUNG,NA,false,true,false,Male,,,,,,
Imsu Yaden,http://myneta.info/nagaland2013/candidate.php?candidate_id=121,TULI,BJP,0,12th Pass,676039,0,676039,21,ST,MOKOKCHUNG,NA,false,true,false,Male,,,,,,
Imtikumzuk,http://myneta.info/nagaland2013/candidate.php?candidate_id=29,AONGLENDEN,INC,0,Graduate,1276000,0,1276000,26,ST,MOKOKCHUNG,NA,false,false,false,Male,,,,,,
J.M. Makhe Yimchunger,http://myneta.info/nagaland2013/candidate.php?candidate_id=109,PUNGRO KIPHIRE,BJP,0,Literate,486000,0,486000,60,ST,KIPHIRE,NA,false,false,false,Male,,,,,,
Jongshilemba,http://myneta.info/nagaland2013/candidate.php?candidate_id=126,ANGETYONGPANG,INC,0,Graduate,2152600,0,2152600,24,ST,MOKOKCHUNG,NA,false,true,false,Male,,,,,,
Joshua Sumi,http://myneta.info/nagaland2013/candidate.php?candidate_id=19,PUGHOBOTO,INC,0,Post Graduate,11741399,0,11741399,13,ST,PUGHOBOTO,NA,false,true,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=19&id2=67,11741399,9990000,1751399,18%,Age Difference=-1 PAN was missing last time
K. Konngam Konyak,http://myneta.info/nagaland2013/candidate.php?candidate_id=89,PHOMCHING,INC,0,8th Pass,109444646,0,109444646,44,ST,MON,NA,false,true,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=89&id2=155,109444646,3150356,106294290,3374%,PAN was missing last time
K. Yimso Yimchunger,http://myneta.info/nagaland2013/candidate.php?candidate_id=150,SHAMATOR CHESSORE,JD(U),0,Graduate,2600000,0,2600000,58,ST,TUENSANG,NA,false,true,false,Male,,,,,,
K.L. Chishi,http://myneta.info/nagaland2013/candidate.php?candidate_id=49,DIMAPUR-I,INC,0,Graduate Professional,501943027,5763406,496179621,1,GEN,DIMAPUR,NA,false,false,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=49&id2=1,501943027,467862200,34080827,7%,
K.V. Pusa,http://myneta.info/nagaland2013/candidate.php?candidate_id=116,SOUTHERN ANGAMI-II,INC,0,Graduate,8200000,0,8200000,15,ST,KOHIMA,NA,false,false,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=116&id2=39,8200000,2757144,5442856,197%,Age Difference=-1
Kakheto,http://myneta.info/nagaland2013/candidate.php?candidate_id=176,AKULUTO,NPF,0,Graduate,17253158,0,17253158,31,ST,ZUNHEBOTO,NA,false,false,false,Male,,,,,,
Kejong Chang,http://myneta.info/nagaland2013/candidate.php?candidate_id=156,TUENSANG SADAR-II,NPF,0,Illiterate,9202600,0,9202600,54,ST,TUENSANG,NA,false,true,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=156&id2=196,9202600,1385000,7817600,564%,PAN was missing last time Party in last election was INC
Kevechutso,http://myneta.info/nagaland2013/candidate.php?candidate_id=174,CHIZAMI,IND,0,Graduate,4611870,0,4611870,17,ST,PHEK,NA,false,false,false,Male,,,,,,
Kevise Sogotsu,http://myneta.info/nagaland2013/candidate.php?candidate_id=118,NORTHERN ANGAMI-II,INC,0,Not Given,4300000,0,4300000,11,ST,KOHIMA,NA,false,false,false,Male,,,,,,
Kewekhape Therie,http://myneta.info/nagaland2013/candidate.php?candidate_id=22,PFUTSERO,INC,0,Graduate,8263910,0,8263910,16,ST,PHEK,NA,false,false,false,Male,,,,,,
Khaiminlun,http://myneta.info/nagaland2013/candidate.php?candidate_id=43,GHASPANI-II,IND,0,Graduate Professional,19937848,364628,19573220,5,ST,DIMAPUR,NA,false,true,false,Male,,,,,,
Khekaho,http://myneta.info/nagaland2013/candidate.php?candidate_id=177,AKULUTO,INC,0,Graduate,11097797,0,11097797,31,ST,ZUNHEBOTO,NA,false,true,false,Male,,,,,,
Khekiho Zhimomi,http://myneta.info/nagaland2013/candidate.php?candidate_id=4,GHASPANI-I,NPF,0,Graduate,13857519,0,13857519,4,ST,DIMAPUR,NA,false,true,false,Male,,,,,,
Khriehu Liezietsu,http://myneta.info/nagaland2013/candidate.php?candidate_id=16,NORTHERN ANGAMI-I,NPF,0,12th Pass,42073191,0,42073191,10,ST,KOHIMA,NA,false,true,false,Male,,,,,,
Khuosatho,http://myneta.info/nagaland2013/candidate.php?candidate_id=163,MELURI,INC,0,Post Graduate,4440308,0,4440308,20,ST,PHEK,NA,false,true,false,Male,,,,,,
Kiyanilie Peseyie,http://myneta.info/nagaland2013/candidate.php?candidate_id=14,WESTERN ANGAMI,NPF,0,Graduate,17212920,0,17212920,8,ST,KOHIMA,NA,false,false,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=14&id2=45,17212920,90492955,-73280035,-81%,
Kiyezhe Aye,http://myneta.info/nagaland2013/candidate.php?candidate_id=79,SURUHOTO,INC,0,Graduate,22628384,0,22628384,33,ST,ZUNHEBOTO,NA,false,true,false,Male,,,,,,
Kropol Vitsu,http://myneta.info/nagaland2013/candidate.php?candidate_id=21,SOUTHERN ANGAMI-II,NPF,0,Graduate Professional,16289446,0,16289446,15,ST,KOHIMA,NA,false,true,false,Male,,,,,,
Kuzholuzo Nienu,http://myneta.info/nagaland2013/candidate.php?candidate_id=168,PHEK,NPF,0,Graduate,54480457,0,54480457,19,ST,PHEK,NA,false,true,false,Male,http://myneta.info/nagaland2013/index.php?action=affidavitComparison&myneta_folder2=2008Nagaland&id1=168&id2=79,54480457,23564157,30916300,131%,Age Difference=2 PAN was missing last time
L. Elam Chang,http://myneta.info/nagaland2013/candidate.php?candidate_id=154,TUENSANG SADAR-I,NPF,0,Graduate,14172996,0,14172996,53,ST,TUENSANG,NA,false,true,false,Male,,,,,,
L. Khumo Khiamniungan,http://myneta.info/nagaland2013/candidate.php?candidate_id=189,THONOKNYU,NCP,0,8th Pass,5064168,0,5064168,57,ST,TUENSANG,NA,false,false,false,Male,,,,,,
L. L. Kuki,http://myneta.info/nagaland2013/candidate.php?candidate_id=72,TENNING,IND,0,Graduate,1000000,0,1000000,6,ST,PEREN,NA,false,true,false,Male,,,,,,
