candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Bhola Nath Dhar,http://myneta.info/tripura2018/candidate.php?candidate_id=5849,BELONIA,INC,0,Graduate,2532000,50000,2482000,35,GEN,South Tripura,Tripura West,false,true,false,Male,,,,,,
Bibhishan Chandra Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5945,RAJNAGAR,BJP,0,12th Pass,2162790,0,2162790,34,SC,South Tripura,Tripura West,true,true,false,Male,,,,,,
Bibhulal Dey,http://myneta.info/tripura2018/candidate.php?candidate_id=6036,MATARBARI,SUCI(C),0,8th Pass,822927,0,822927,32,ST,Gomati,Tripura West,false,false,false,Male,,,,,,
Bidyut Bikash Singha,http://myneta.info/tripura2018/candidate.php?candidate_id=5990,CHANDIPUR,AITC,0,Graduate,3044683,0,3044683,52,GEN,Unakoti,Tripura East,false,false,false,Male,,,,,,
Bihari Baishnab Tripura,http://myneta.info/tripura2018/candidate.php?candidate_id=5857,CHAWMANU,Indigenous Nationalist Party of Twipra,0,5th Pass,217021,0,217021,49,ST,Dhalai,Tripura East,false,false,false,Male,,,,,,
Bijoy Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5806,AMARPUR,AMB,0,8th Pass,571000,30000,541000,42,GEN,Gomati,Tripura East,false,false,false,Male,,,,,,
Bijoy Krishna Chatterjee,http://myneta.info/tripura2018/candidate.php?candidate_id=5964,KAMALPUR,INC,0,Graduate Professional,1522199,0,1522199,45,GEN,Dhalai,Tripura East,false,true,false,Male,,,,,,
Bijoy Kumar Hrangkhawl,http://myneta.info/tripura2018/candidate.php?candidate_id=5971,AMBASSA,Indigenous Nationalist Party of Twipra,0,10th Pass,8233700,1000000,7233700,47,ST,Dhalai,Tripura East,false,true,false,Male,,,,,,
Bijoy Laxmi Singha,http://myneta.info/tripura2018/candidate.php?candidate_id=5809,KAMALPUR,CPI(M),0,8th Pass,487980,1031312,-543332,45,GEN,Dhalai,Tripura East,false,true,false,Female,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5809&id2=185,487980,1518578,-1030598,-68%,
Bikash Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5981,CHAWMANU,TSP,0,12th Pass,71150,0,71150,49,ST,Dhalai,Tripura East,false,true,false,Male,,,,,,
Bikram Kishore Sinha,http://myneta.info/tripura2018/candidate.php?candidate_id=6023,KALYANPUR-PRAMODNAGAR,INC,0,Graduate,671394,0,671394,27,GEN,Khowai,Tripura East,false,true,false,Male,,,,,,
Billal Mia,http://myneta.info/tripura2018/candidate.php?candidate_id=5923,BOXANAGAR,INC,0,Graduate,28843598,620000,28223598,20,GEN,Sipahijala,Tripura West,false,true,false,Male,,,,,,
Bimal Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5834,BAMUTIA,AMB,0,10th Pass,223500,0,223500,3,SC,West Tripura,Tripura West,false,false,false,Male,,,,,,
Binay Bhushan Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5870,PANISAGAR,BJP,0,Graduate Professional,6021793,267535,5754258,58,GEN,North Tripura,Tripura East,true,true,false,Male,,,,,,
Binod Nath,http://myneta.info/tripura2018/candidate.php?candidate_id=5869,PANISAGAR,AMB,0,8th Pass,1365779,10947,1354832,58,GEN,North Tripura,Tripura East,false,false,false,Male,,,,,,
Biplab Kumar Deb,http://myneta.info/tripura2018/candidate.php?candidate_id=5896,BANAMALIPUR,BJP,0,Graduate,21393539,2779408,18614131,9,GEN,West Tripura,Tripura West,true,true,false,Male,,,,,,
Biplab Kumar Ghosh,http://myneta.info/tripura2018/candidate.php?candidate_id=6034,MATARBARI,BJP,0,12th Pass,58608757,6957736,51651021,32,ST,Gomati,Tripura West,true,true,false,Male,,,,,,
Biplab Kumar Saha,http://myneta.info/tripura2018/candidate.php?candidate_id=5854,AMARPUR,INC,0,10th Pass,212000,0,212000,42,GEN,Gomati,Tripura East,false,true,false,Male,,,,,,
Birajit Sinha,http://myneta.info/tripura2018/candidate.php?candidate_id=5862,KAILASHAHAR,INC,0,12th Pass,22136303,2571287,19565016,53,GEN,Unakoti,Tripura East,true,true,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5862&id2=41,22136303,15902683,6233620,39%,
Biren Debnath,http://myneta.info/tripura2018/candidate.php?candidate_id=5895,BANAMALIPUR,IND,0,10th Pass,347000,800000,-453000,9,GEN,West Tripura,Tripura West,false,true,false,Male,,,,,,
Birendra Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5904,PRATAPGARH,AMB,0,10th Pass,832200,0,832200,13,SC,West Tripura,Tripura West,false,false,false,Male,,,,,,
Birendra Kishore Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5913,GOLAGHATI,BJP,0,10th Pass,1255311,0,1255311,17,ST,Sipahijala,Tripura West,false,false,false,Male,,,,,,
Bishwajit Chakraborty,http://myneta.info/tripura2018/candidate.php?candidate_id=6035,MATARBARI,AITC,0,Graduate,22595,0,22595,32,ST,Gomati,Tripura West,false,true,false,Male,,,,,,
Biswanath Ghosh,http://myneta.info/tripura2018/candidate.php?candidate_id=5909,KAMALASAGAR,AITC,0,10th Pass,370000,0,370000,15,GEN,West Tripura,Tripura West,false,true,false,Male,,,,,,
Biswanath Saha,http://myneta.info/tripura2018/candidate.php?candidate_id=5836,TOWN BARDOWALI,AIFB,0,Graduate,7238896,0,7238896,8,GEN,West Tripura,Tripura West,true,true,false,Male,,,,,,
Braja Mohan Tripura,http://myneta.info/tripura2018/candidate.php?candidate_id=5952,JOLAIBARI,INC,0,12th Pass,611000,60000,551000,38,ST,South Tripura,Tripura East,false,false,false,Male,,,,,,
Brajendra Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5769,BADHARGHAT,AMB,0,8th Pass,1150000,0,1150000,14,SC,West Tripura,Tripura West,false,true,false,Male,,,,,,
Brishaketu Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5874,SIMNA,IPFT,0,Graduate Professional,3295857,0,3295857,1,ST,West Tripura,Tripura West,false,true,false,Male,,,,,,
Burba Mohan Tripura,http://myneta.info/tripura2018/candidate.php?candidate_id=6049,KARBOOK,BJP,0,5th Pass,23793,0,23793,43,ST,Gomati,Tripura East,false,false,false,Male,,,,,,
Chinta Kumar Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5935,TELIAMURA,TSP,0,10th Pass,2300,0,2300,28,ST,Khowai,Tripura East,false,false,false,Male,,,,,,
Chiranjay Reang,http://myneta.info/tripura2018/candidate.php?candidate_id=5976,KARAMCHARA,TPP,0,8th Pass,30259,0,30259,48,ST,Dhalai,Tripura East,false,false,false,Male,,,,,,
