candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
RADHESHYAM SEN,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=608,Mahasamund,IND,0,12th Pass,51000,0,51000,42,GEN,MAHASAMUND,CHHATTISGARH PLAINS,,false,false,Male
RAGHUNATH PRASAD LAHRE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=106,Masturi,IND,0,10th Pass,1009500,190000,819500,32,SC,BILASPUR,CHHATTISGARH PLAINS,,true,false,Male
RAJ KAMAL SINGHANIYA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=297,Kasdol,INC,0,Graduate,101735952,2730498,99005454,44,GEN,BALODABAZAR,CHHATTISGARH PLAINS,,true,false,Male
RAJ MAHANT SATYA NARAYAN SONWANI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=292,Bhatapara,IND,0,12th Pass,5240000,0,5240000,46,GEN,BALODABAZAR,CHHATTISGARH PLAINS,,false,false,Male
RAJA RAM TIRKEY,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=360,Sitapur,IND,0,12th Pass,605000,0,605000,11,ST,SURGUJA,NOTHERN HILLS,,false,false,Male
RAJENDRA BHASKAR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=95,Mungeli,BSP,0,Not Given,3514000,80000,3434000,27,SC,MUNGELI,CHHATTISGARH PLAINS,,false,false,Male
RAJENDRA KHES,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=352,Lundra,IND,0,12th Pass,585000,0,585000,9,ST,SURGUJA,NOTHERN HILLS,,false,false,Male
RAJENDRA KUMAR DEWANGAN,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=698,Bhilai Nagar,IND,2,12th Pass,2400,0,2400,65,GEN,DURG,CHHATTISGARH PLAINS,,false,false,Male
RAJENDRA KUMAR KASHYAP,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=483,Chitrakot,CPI(ML)(L),0,12th Pass,47000,80000,-33000,87,ST,BASTAR (JAGDALPUR),BASTAR PLATEAU,,false,false,Male
RAJENDRA KUMAR SAHU,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=114,Kurud,BSP,0,Graduate,4160000,0,4160000,57,GEN,DHAMTARI,CHHATTISGARH PLAINS,,false,false,Male
RAJENDRA KUMAR SHASTRI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=922,Premnagar,IND,0,Graduate Professional,1123000,0,1123000,4,GEN,SURAJPUR,NOTHERN HILLS,,true,false,Male
RAJENDRA PAMBHOI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=12,Bijapur,INC,0,12th Pass,6124124,0,6124124,89,ST,BIJAPUR,BASTAR PLATEAU,,false,false,Male
RAJENDRA PARGANIHA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=500,Durg-Rural,CPI(ML)(L),0,Graduate,1172200,0,1172200,63,GEN,DURG,CHHATTISGARH PLAINS,,true,false,Male
RAJENDRA PATEL,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=620,Saja,IND,0,10th Pass,2630000,500000,2130000,68,GEN,DURG,CHHATTISGARH PLAINS,,false,false,Male
RAJENDRA SAHU,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=964,Raipur Rural,IND,0,Graduate,92100,0,92100,48,GEN,RAIPUR,CHHATTISGARH PLAINS,,true,false,Male
RAJESH DUBEY,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=573,Bemetara,BSP,0,12th Pass,120000,1100000,-980000,69,GEN,BEMETARA,CHHATTISGARH PLAINS,,true,false,Male
RAJESH GUPTA ALIES ANMOL MANI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=938,Raipur City North,IND,0,12th Pass,1135000,0,1135000,50,GEN,RAIPUR,CHHATTISGARH PLAINS,,false,false,Male
RAJESH JAIN,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=423,Raigarh,SHS,1,Not Given,10142,0,10142,16,GEN,RAIGARH,CHHATTISGARH PLAINS,,false,true,Male
RAJESH MOONAT,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=277,Raipur City West,BJP,0,12th Pass,8264491,1482856,6781635,49,GEN,RAIPUR,CHHATTISGARH PLAINS,,true,false,Male
RAJESH TANDAN,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=648,Arang,ABHM,1,8th Pass,10500,0,10500,52,SC,RAIPUR,CHHATTISGARH PLAINS,,false,false,Male
RAJESH TRIPATHI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=929,Raigarh,IND,0,Post Graduate,220810,0,220810,16,GEN,RAIGARH,CHHATTISGARH PLAINS,,true,false,Male
RAJESH-NAGVANSHI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=987,Rajnandgaon,CGVP,0,Not Given,3501000,800000,2701000,75,GEN,RAJNANDGAON,CHHATTISGARH PLAINS,,false,false,Male
RAJESHWARI GUPTA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=463,Bilha,SHS,0,8th Pass,165000,0,165000,29,GEN,BILASPUR,CHHATTISGARH PLAINS,,false,false,Female
RAJIV BHUSHAN KUMAR PASWAN,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=442,Korba,LJP,0,12th Pass,29000,0,29000,21,GEN,KORBA,CHHATTISGARH PLAINS,,false,false,Male
RAJIV DHURWA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=575,Antagarh,CPM,0,Post Graduate,24000,0,24000,79,ST,UTTAR BASTAR KANKER,BASTAR PLATEAU,,false,false,Male
RAJU GODBOLE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=763,Durg City,RPI(A),1,10th Pass,58500,0,58500,64,GEN,DURG,CHHATTISGARH PLAINS,,false,true,Male
RAJU MANHER,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=1013,Sarangarh,CGVP,0,12th Pass,2348600,100000,2248600,17,SC,RAIGARH,CHHATTISGARH PLAINS,,false,false,Male
RAJU SINGH,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=21,Takhatpur,BJP,0,10th Pass,13646825,0,13646825,28,GEN,BILASPUR,CHHATTISGARH PLAINS,,false,false,Male
RAKESH CHANDRAKAR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=530,Mahasamund,SHS,0,12th Pass,444000,1127,442873,42,GEN,MAHASAMUND,CHHATTISGARH PLAINS,,false,false,Male
RAKESH GUPTA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=844,Kota,BSSP,0,Not Given,35000,0,35000,25,GEN,BILASPUR,CHHATTISGARH PLAINS,,false,false,Male
RAKESH PATKAR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=656,Baloda Bazar,IND,0,Graduate Professional,281000,0,281000,45,GEN,BALODABAZAR,CHHATTISGARH PLAINS,,false,false,Male
RAKESH SHRIVAS,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=495,Dongargaon,SHS,0,10th Pass,692000,0,692000,76,GEN,RAJNANDGAON,CHHATTISGARH PLAINS,,false,false,Male
RAKESH SINGH,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=868,Lundra,IND,0,12th Pass,285000,0,285000,9,ST,SURGUJA,NOTHERN HILLS,,false,false,Male
RAKHI DEEPA SAHU,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=854,Kurud,IND,1,12th Pass,5300000,7000,5293000,57,GEN,DHAMTARI,CHHATTISGARH PLAINS,,false,false,Female
RAM BAGAS BHARTI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=581,Ahiwara,IND,0,Literate,2700000,0,2700000,67,SC,DURG,CHHATTISGARH PLAINS,,false,false,Female
RAM DAYAL NAGVANSI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=989,Ramanujganj,IND,0,Literate,101000,0,101000,7,ST,BALRAMPUR,NOTHERN HILLS,,false,false,Male
RAM DAYAL UIKE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=197,Pali-Tanakhar,INC,0,Graduate,8104000,0,8104000,23,ST,KORBA,CHHATTISGARH PLAINS,,true,false,Male
RAM KUMAR TAH,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=590,Bilaspur,IND,0,Post Graduate,32297042,0,32297042,30,GEN,BILASPUR,CHHATTISGARH PLAINS,,false,false,Male
RAM NARAYAN TANDAN,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=694,Bhatapara,IND,0,Literate,350530,0,350530,46,GEN,BALODABAZAR,CHHATTISGARH PLAINS,,false,false,Male
