candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
JARBOM GAMLIN,http://myneta.info/an2004/candidate.php?candidate_id=68,LIROMOBA,INC,0,Graduate Professional,9555000,0,9555000,27,ST,NA,NA,,false,,Male
JOMDE KENA,http://myneta.info/an2004/candidate.php?candidate_id=72,LIKABALI,IND,0,Not Given,4320000,0,4320000,28,ST,NA,NA,,false,,Male
JUMBI BAGRA,http://myneta.info/an2004/candidate.php?candidate_id=79,ALONG WEST,IND,0,Not Given,13160290,0,13160290,30,ST,NA,NA,,false,,Female
K.K.MOKLOM,http://myneta.info/an2004/candidate.php?candidate_id=77,MIAO,IND,0,10th Pass,2010286,0,2010286,50,ST,NA,NA,,false,,Male
KABANG BORANG,http://myneta.info/an2004/candidate.php?candidate_id=99,MARIYANG_GEKU,INC,0,10th Pass,14020000,0,14020000,40,ST,NA,NA,,false,,Male
KAHFA  BENGIA,http://myneta.info/an2004/candidate.php?candidate_id=51,KOLORIANG,INC,0,Graduate,13700000,0,13700000,21,ST,NA,NA,,false,,Male
KALIKHO PUL,http://myneta.info/an2004/candidate.php?candidate_id=88,HAYULIANG,INC,0,Graduate,6556500,0,6556500,45,ST,NA,NA,,false,,Male
KAMLUNG MOSSING,http://myneta.info/an2004/candidate.php?candidate_id=76,MIAO,INC,0,Graduate Professional,787373,0,787373,50,ST,NA,NA,,false,,Male
KAMTHOK LOWANG,http://myneta.info/an2004/candidate.php?candidate_id=42,KHONSA EAST,IND,0,10th Pass,125000,0,125000,55,ST,NA,NA,,false,,Male
KARIKHO KRI,http://myneta.info/an2004/candidate.php?candidate_id=90,TEZU,IND,0,10th Pass,4815507,0,4815507,44,ST,NA,NA,,false,,Male
KARTO KAYE,http://myneta.info/an2004/candidate.php?candidate_id=107,NARI_KOYU,IND,0,Graduate,2749217,345059,2404158,36,ST,NA,NA,,false,,Male
