candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
SHRI NABAM TUKI,http://myneta.info/an2004/candidate.php?candidate_id=35,SAGALLE,INC,0,Not Given,41425863,0,41425863,15,ST,NA,NA,,false,,Male
SHRI NARESH GLOW,http://myneta.info/an2004/candidate.php?candidate_id=11,THRIZINO_BURAGAON,INC,0,10th Pass,6996427,0,6996427,6,ST,NA,NA,,false,,Male
SHRI NGURANG PINCH,http://myneta.info/an2004/candidate.php?candidate_id=33,DOIMUKH,IND,1,Not Given,7417134,0,7417134,14,ST,NA,NA,,false,,Male
SHRI RINCHIN KHANDU KHRIMEY,http://myneta.info/an2004/candidate.php?candidate_id=7,KALAKTANG,IND,0,Post Graduate,20100000,900000,19200000,5,ST,NA,NA,,false,,Male
SHRI T.C. TELI,http://myneta.info/an2004/candidate.php?candidate_id=34,DOIMUKH,INC,0,Graduate,57042529,0,57042529,14,ST,NA,NA,,false,,Male
SHRI TSERING GYURME,http://myneta.info/an2004/candidate.php?candidate_id=6,DIRANG,INC,0,8th Pass,5636000,0,5636000,4,ST,NA,NA,,false,,Male
SRI EKEN RIBA,http://myneta.info/an2004/candidate.php?candidate_id=75,BASAR,INC,0,Graduate Professional,6820000,0,6820000,29,ST,NA,NA,,false,,Male
SRI GOJEN GADI,http://myneta.info/an2004/candidate.php?candidate_id=74,BASAR,IND,0,5th Pass,15167000,0,15167000,29,ST,NA,NA,,false,,Male
T.G. RINPOCHE,http://myneta.info/an2004/candidate.php?candidate_id=1,LUMLA,INC,0,Post Graduate,1250000,0,1250000,1,ST,NA,NA,,false,,Male
TADIK CHIJE,http://myneta.info/an2004/candidate.php?candidate_id=112,MECHUKA,INC,0,Not Given,0,0,0,33,ST,NA,NA,,false,,Male
TAKAM SORANG,http://myneta.info/an2004/candidate.php?candidate_id=48,TALI,INC,0,Graduate,40132050,0,40132050,20,ST,NA,NA,,false,,Male
TAKAR DONI,http://myneta.info/an2004/candidate.php?candidate_id=67,DUMPORIJO,IND,0,10th Pass,1330000,0,1330000,26,ST,NA,NA,,false,,Male
TAKAR MARDE,http://myneta.info/an2004/candidate.php?candidate_id=66,DUMPORIJO,INC,0,10th Pass,7261103,0,7261103,26,ST,NA,NA,,false,,Male
TAKO DABI,http://myneta.info/an2004/candidate.php?candidate_id=106,NARI_KOYU,INC,0,Graduate Professional,7665000,0,7665000,36,ST,NA,NA,,false,,Male
TALO MUGLI,http://myneta.info/an2004/candidate.php?candidate_id=63,RAGA,BJP,0,10th Pass,14400000,0,14400000,25,ST,NA,NA,,false,,Male
