candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
MAMATHA HEGADE NICHANI,http://myneta.info/karnatka2008/candidate.php?candidate_id=1528,Ramanagaram,INC,0,Post Graduate,51519834,2073203,49446631,183,GEN,RAMANAGARA,BANGALORE DIVISION,,true,false,Female
MANAGULI MALLAPPA CHANNAVEERAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=463,Sindgi,JD(S),0,10th Pass,39257637,1179240,38078397,33,GEN,BIJAPUR,BELGAUM DIVISION,,true,false,Male
MANAPPA VAJJAL,http://myneta.info/karnatka2008/candidate.php?candidate_id=667,Lingsugur,BJP,0,5th Pass,18870000,100000,18770000,57,SC,RAICHUR,GULBARGA REGION,,true,false,Male
MANASHAYYA NAIK,http://myneta.info/karnatka2008/candidate.php?candidate_id=665,Devadurga,IND,0,12th Pass,195000,0,195000,56,ST,RAICHUR,GULBARGA REGION,,false,false,Male
MANGALAVEDHE VIJAYAKUMAR SHIVAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=2266,Bijapur City,IND,0,Graduate,984500,0,984500,30,GEN,BIJAPUR,BELGAUM DIVISION,,false,false,Male
MANGESH SHANTARAM KAISARE,http://myneta.info/karnatka2008/candidate.php?candidate_id=919,Yellapur,RAHS,1,Graduate,4974000,407884,4566116,81,GEN,UTTARA KANNADA,BELGAUM DIVISION,,true,true,Male
MANI HEGADE.M.G.,http://myneta.info/karnatka2008/candidate.php?candidate_id=1170,Tirthahalli,JD(S),0,12th Pass,6582000,2700000,3882000,114,GEN,SHIMOGA,BANGALORE DIVISION,,false,false,Male
MANIK,http://myneta.info/karnatka2008/candidate.php?candidate_id=582,Chincholi,IND,0,Illiterate,973000,25000,948000,42,SC,GULBARGA,GULBARGA REGION,,false,false,Male
MANJAPPA KAMALAKSHA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1205,Byndoor,IND,0,Illiterate,75000,0,75000,118,GEN,UDUPI,MYSORE DIVISION,,false,false,Male
MANJU S GOWDA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1626,Krishnarajpet,SP,0,10th Pass,484700,0,484700,192,GEN,MANDYA,MYSORE DIVISION,,false,false,Male
MANJU. A,http://myneta.info/karnatka2008/candidate.php?candidate_id=1663,Arkalgud,INC,1,Post Graduate,60096394,10389730,49706664,198,GEN,HASSAN,MYSORE DIVISION,,false,false,Male
MANJULA RAJU,http://myneta.info/karnatka2008/candidate.php?candidate_id=1773,Heggadadevankote,IND,0,12th Pass,490000,0,490000,213,ST,MYSORE,MYSORE DIVISION,,false,false,Female
MANJULADEVI .S. HATTI,http://myneta.info/karnatka2008/candidate.php?candidate_id=991,Ranibennur,SUP,0,Post Graduate,3090000,0,3090000,87,GEN,HAVERI,BELGAUM DIVISION,,false,false,Female
MANJULAMMA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1623,Krishnarajpet,IND,0,12th Pass,630000,40000,590000,192,GEN,MANDYA,MYSORE DIVISION,,false,false,Female
MANJUNATH G.S.,http://myneta.info/karnatka2008/candidate.php?candidate_id=1024,Hiriyur,IND,0,Not Given,1150190,285693,864497,100,GEN,CHITRADURGA,BANGALORE DIVISION,,true,false,Male
