candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations
NARAYAN RUPINI,http://myneta.info/tripura2008/candidate.php?candidate_id=96,Charilam,CPM,0,12th Pass,780500,14300,766200,18,ST
NARENDRA CHANDRA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=97,Charilam,INPT,0,Graduate,2100500,22000,2078500,18,ST
NARENDRA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=8,Mandaibazar,LJP,0,10th Pass,0,0,0,11,ST
NARESH CHANDRA JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=293,Bagma,CPM,0,10th Pass,400424,0,400424,30,ST
NIHAR DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=236,Ramchandraghat,IND,0,10th Pass,0,0,0,23,ST
NIKHIL ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=144,Kurti,CPI(ML)(L),0,10th Pass,853455,36000,817455,54,GEN
NILIMA GHOSH,http://myneta.info/tripura2008/candidate.php?candidate_id=26,Ramnagar,BJP,0,12th Pass,398000,0,398000,7,GEN
NIRANJAN DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=52,Takarjala,CPM,0,10th Pass,478446,736952,-258506,12,ST
NISHITH DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=16,Banamalipur,IND,0,Graduate,29641,0,29641,9,GEN
NOOR ISLAM,http://myneta.info/tripura2008/candidate.php?candidate_id=151,Panisagar,AIFB,0,10th Pass,30200,22000,8200,59,GEN
PADMA KR. DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=233,Ramchandraghat,CPM,0,10th Pass,911012,500000,411012,23,ST
PAPRI HALDAR,http://myneta.info/tripura2008/candidate.php?candidate_id=23,Town Bordowali,LJP,0,Graduate,7000,0,7000,8,GEN
PAPRI PODDER(BISWAS),http://myneta.info/tripura2008/candidate.php?candidate_id=47,Bamutia,AITC,0,10th Pass,1597000,0,1597000,3,SC
PARESH CHANDRA SAHA,http://myneta.info/tripura2008/candidate.php?candidate_id=12,Majlishpur,BJP,0,Graduate,1407390,90726,1316664,10,GEN
PARIKSHIT DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=262,Santirbazar,BJP,0,10th Pass,1399742,32000,1367742,37,ST
PARTHA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=309,Salgarh,RSP,0,Graduate,332939,60105,272834,31,SC
PIJUSH KANTI DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=149,Panisagar,IND,0,10th Pass,766000,0,766000,59,GEN
PIJUSH NATH,http://myneta.info/tripura2008/candidate.php?candidate_id=130,Jubarajnagar,BJP,0,8th Pass,924442,0,924442,57,GEN
PRADIP CHAKRABORTY,http://myneta.info/tripura2008/candidate.php?candidate_id=40,Barjala,AITC,0,10th Pass,123500,0,123500,4,GEN
PRAFULLA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=217,Asharambari,IND,0,10th Pass,18000,0,18000,25,ST
PRAKASH CHANDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=44,Bamutia,INC,0,Graduate,84896,696516,-611620,3,SC
PRANAB DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=1,Simna,CPM,0,Graduate,1100586,580283,520303,1,ST
PRANAJIT SINGHA ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=305,Radhakishorepur,INC,0,Graduate,25162445,640987,24521458,32,GEN
PRANAY BHUSAN BASAK,http://myneta.info/tripura2008/candidate.php?candidate_id=171,Fatikroy,AMB,0,Post Graduate,0,0,0,51,GEN
PRANJIT BANIK,http://myneta.info/tripura2008/candidate.php?candidate_id=35,Khayerpur,BJP,0,Post Graduate,883000,0,883000,5,GEN
PRASANTA KAPALI,http://myneta.info/tripura2008/candidate.php?candidate_id=14,Banamalipur,CPI,0,Graduate,659423,0,659423,9,GEN
PRATIK SEN,http://myneta.info/tripura2008/candidate.php?candidate_id=172,Fatikroy,AIFB,0,Graduate,500,4000,-3500,51,GEN
PREMTOSH NATH,http://myneta.info/tripura2008/candidate.php?candidate_id=250,Sabroom,IND,0,10th Pass,346400,0,346400,41,GEN
PULAK KUMAR DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=39,Barjala,BJP,0,Post Graduate,134000,0,134000,4,GEN
PURABI BARMAN,http://myneta.info/tripura2008/candidate.php?candidate_id=275,Nalchar,IND,0,12th Pass,0,0,0,20,SC
PURNA CHANDRA TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=257,Jolaibari,IND,0,8th Pass,0,0,0,39,ST
PUTUL GHOSH,http://myneta.info/tripura2008/candidate.php?candidate_id=36,Khayerpur,AITC,0,10th Pass,344000,0,344000,5,GEN
PUTUL RANI MITRA,http://myneta.info/tripura2008/candidate.php?candidate_id=114,Pratapgarh,LJP,0,8th Pass,0,0,0,13,SC
RABINDRA  KISHORE DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=3,Simna,IND,0,Graduate,1266785,140383,1126402,1,ST
RABINDRA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=2,Simna,INPT,1,10th Pass,1248997,64600,1184397,1,ST
RABINDRA KUMAR DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=312,Salgarh,BJP,0,Not Given,2232500,0,2232500,31,SC
RADHA CHARAN DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=193,Salema,IND,1,10th Pass,841892,0,841892,47,ST
RADHA RANI DAS (BHOWMIK),http://myneta.info/tripura2008/candidate.php?candidate_id=82,Rajnagar,BJP,0,8th Pass,663000,174447,488553,35,SC
RADHIKA RANJAN DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=147,Panisagar,INC,0,12th Pass,61000,30000,31000,59,GEN
RAJ KUMAR JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=295,Bagma,BJP,0,Graduate,126800,0,126800,30,ST
RAJENDRA REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=203,Kanchanpur,CPM,0,10th Pass,717738,501650,216088,60,ST
RAJESHWAR DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=53,Takarjala,INPT,0,12th Pass,1137000,508979,628021,12,ST
RAJIB SAMADDAR,http://myneta.info/tripura2008/candidate.php?candidate_id=297,Kakraban,INC,0,10th Pass,535351,54360,480991,34,GEN
RAJJAB ALI,http://myneta.info/tripura2008/candidate.php?candidate_id=68,Birganj,CPI(ML)(L),0,Literate,13000,3259,9741,43,GEN
RAKHAL RAJ DATTA,http://myneta.info/tripura2008/candidate.php?candidate_id=17,Banamalipur,AMB,0,Graduate Professional,764000,0,764000,9,GEN
RAMA PRASAD PAUL,http://myneta.info/tripura2008/candidate.php?candidate_id=87,Badharghat,BJP,0,8th Pass,177500,0,177500,14,GEN
RAMENDRA CHANDRA DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=128,Jubarajnagar,CPM,0,Graduate Professional,1519408,500000,1019408,57,GEN
RAMESH CHANDRA DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=131,Jubarajnagar,AMB,0,Graduate Professional,1519413,500000,1019413,57,GEN
RANJIT ROY CHOWDHURY,http://myneta.info/tripura2008/candidate.php?candidate_id=252,Sabroom,BJP,0,10th Pass,582498,24,582474,41,GEN
RATAN CHAKRABORTY,http://myneta.info/tripura2008/candidate.php?candidate_id=34,Khayerpur,INC,0,Graduate,1248153,12563,1235590,5,GEN
RATAN DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=25,Ramnagar,CPM,0,Post Graduate,770790,500000,270790,7,GEN
RATAN LAL NATH,http://myneta.info/tripura2008/candidate.php?candidate_id=48,Mohanpur,INC,2,Graduate Professional,2407049,780958,1626091,2,GEN
RATAN ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=74,Belonia,AMB,0,12th Pass,0,0,0,36,GEN
RATHINDRA DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=168,Fatikroy,IND,0,8th Pass,5000,0,5000,51,GEN
RATI MOHAN JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=294,Bagma,INC,0,12th Pass,543479,0,543479,30,ST
RENU DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=237,Ramchandraghat,AITC,0,5th Pass,55000,0,55000,23,ST
RITA KAR (MAJUMDER),http://myneta.info/tripura2008/candidate.php?candidate_id=249,Sabroom,CPM,0,Graduate,960500,437000,523500,41,GEN
RITA RANI DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=4,Simna,AITC,0,8th Pass,11500,0,11500,1,ST
RUDRA KANTA SINHA,http://myneta.info/tripura2008/candidate.php?candidate_id=162,Chandipur,IND,0,12th Pass,5000,57000,-52000,52,GEN
RUDRENDU BHATTACHARJEE,http://myneta.info/tripura2008/candidate.php?candidate_id=160,Chandipur,INC,0,Graduate,305255,0,305255,52,GEN
SABDA KUMAR JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=287,Krishnapur,INC,0,Not Given,678832,259000,419832,28,ST
SACHINDRA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=215,Asharambari,CPM,0,10th Pass,4036330,570990,3465340,25,ST
SAHA ALAM,http://myneta.info/tripura2008/candidate.php?candidate_id=269,Dhanpur,INC,0,Graduate,130500,0,130500,22,GEN
SAHID CHOUDHURI,http://myneta.info/tripura2008/candidate.php?candidate_id=263,Boxanagar,CPM,0,Graduate,4419730,6380,4413350,19,GEN
SAILEN ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=222,Khowai,AMB,0,12th Pass,201073,1281,199792,24,GEN
SAMIR  BISWAS,http://myneta.info/tripura2008/candidate.php?candidate_id=45,Bamutia,BJP,0,Graduate,1230000,40000,1190000,3,SC
SAMIR DEB SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=220,Khowai,CPM,0,Graduate,1583829,500000,1083829,24,GEN
SAMIR RANJAN BARMAN,http://myneta.info/tripura2008/candidate.php?candidate_id=93,Bishalgarh,INC,0,Graduate Professional,18557347,33001,18524346,16,GEN
SAMSAR ALI,http://myneta.info/tripura2008/candidate.php?candidate_id=176,Kailasahar,IND,0,Graduate,5000,0,5000,53,GEN
SANJAY CHAUDHURY,http://myneta.info/tripura2008/candidate.php?candidate_id=124,Dharmanagar,IND,0,Graduate,10511,0,10511,56,GEN
SANJIB DEY,http://myneta.info/tripura2008/candidate.php?candidate_id=41,Barjala,NCP,0,Others,110500,0,110500,4,GEN
SANJIT DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=55,Takarjala,AITC,0,10th Pass,15000,0,15000,12,ST
SANJIT KUMAR REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=204,Kanchanpur,INC,0,10th Pass,140000,0,140000,60,ST
SANKAR KODAL,http://myneta.info/tripura2008/candidate.php?candidate_id=143,Kurti,BJP,0,5th Pass,60000,0,60000,54,GEN
SANKAR PRASAD DATTA,http://myneta.info/tripura2008/candidate.php?candidate_id=37,Barjala,CPM,0,Post Graduate,625834,0,625834,4,GEN
SANTI KUMAR DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=102,Golaghati,IND,1,10th Pass,0,0,0,17,ST
SANTOSH DEBROY,http://myneta.info/tripura2008/candidate.php?candidate_id=175,Kailasahar,BJP,0,12th Pass,656001,0,656001,53,GEN
SATISH DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=9,Mandaibazar,AITC,0,8th Pass,12000,0,12000,11,ST
SHIBANI BHOWMIK,http://myneta.info/tripura2008/candidate.php?candidate_id=31,Agartala,IND,0,12th Pass,535000,0,535000,6,GEN
SHILA DEBBARMA(BHOWMIK),http://myneta.info/tripura2008/candidate.php?candidate_id=232,Pramodenagar,AMB,0,5th Pass,0,0,0,26,ST
SILENDRA REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=63,Ampinagar,LJP,0,8th Pass,0,0,0,42,ST
SINDU CHANDRA JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=60,Ampinagar,IND,0,10th Pass,38662,0,38662,42,ST
SMT BIJOY LAKSHMI SINGHA,http://myneta.info/tripura2008/candidate.php?candidate_id=185,Kamalpur,CPM,0,8th Pass,1200000,1600000,-400000,45,GEN
SMT. SABITRI DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=241,Kulai,CPM,0,8th Pass,1053200,0,1053200,48,ST
SRI BIHARI BAISHNAB (TRIPURA),http://myneta.info/tripura2008/candidate.php?candidate_id=118,Chhawmanu,IND,0,5th Pass,0,0,0,49,ST
SRI BIJOY KUMAR HARNGKHAWL,http://myneta.info/tripura2008/candidate.php?candidate_id=240,Kulai,INPT,0,10th Pass,2092586,525000,1567586,48,ST
SRI BIPUL DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=194,Salema,AIFB,0,10th Pass,5000,0,5000,47,ST
SRI BISHU DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=195,Salema,LJP,0,10th Pass,0,0,0,47,ST
SRI BISWANATH RABIDAS,http://myneta.info/tripura2008/candidate.php?candidate_id=201,Surma,IND,0,Literate,71000,0,71000,46,SC
SRI FALGUNI TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=157,Raima Valley,CPI(ML)(L),0,8th Pass,251000,0,251000,44,ST
SRI HIRALAL DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=199,Surma,IND,0,5th Pass,76000,0,76000,46,SC
SRI JAGAT JYOTI CHAKMA,http://myneta.info/tripura2008/candidate.php?candidate_id=119,Chhawmanu,BJP,0,12th Pass,20000,0,20000,49,ST
SRI KALPA MOHAN TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=242,Kulai,BJP,0,8th Pass,290000,0,290000,48,ST
SRI KHANNA MARAK,http://myneta.info/tripura2008/candidate.php?candidate_id=120,Chhawmanu,NCP,0,5th Pass,202000,0,202000,49,ST
SRI LALIT MOHAN TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=152,Raima Valley,CPM,0,5th Pass,4677793,0,4677793,44,ST
SRI MAHENDRA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=192,Salema,BJP,0,Literate,116100,0,116100,47,ST
SRI MANOJ KANTI DEB,http://myneta.info/tripura2008/candidate.php?candidate_id=184,Kamalpur,INC,0,Graduate,488243,0,488243,45,GEN
SRI NALINI BHAGYA CHAKMA,http://myneta.info/tripura2008/candidate.php?candidate_id=155,Raima Valley,NCP,0,10th Pass,515000,0,515000,44,ST
SRI NIRAJOY TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=116,Chhawmanu,CPM,0,Literate,5000,0,5000,49,ST
SRI NISHI KANTA SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=198,Surma,BJP,0,Graduate,302979,20837,282142,46,SC
SRI PADHYA KUMAR DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=244,Kulai,LJP,0,8th Pass,0,0,0,48,ST
SRI PRABIR KUMAR KALAI,http://myneta.info/tripura2008/candidate.php?candidate_id=158,Raima Valley,IND,0,10th Pass,72500,10000,62500,44,ST
SRI PRASANTA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=190,Salema,CPM,0,8th Pass,436135,636085,-199950,47,ST
SRI RAJYARAM TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=243,Kulai,IND,0,5th Pass,170,0,170,48,ST
SRI RAVBINDRA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=153,Raima Valley,INPT,0,12th Pass,1226093,0,1226093,44,ST
SRI SHYAMA CHARAN TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=117,Chhawmanu,INPT,0,Graduate,1925000,580000,1345000,49,ST
SRI SINDHU MANI TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=154,Raima Valley,IND,0,10th Pass,0,0,0,44,ST
SRI SUDIR DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=196,Surma,CPM,0,12th Pass,1652378,741959,910419,46,SC
SRI SUKHA RANJAN DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=197,Surma,INC,0,Graduate,929842,296000,633842,46,SC
SRI SUNIL CHANDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=202,Surma,AIFB,0,8th Pass,55000,0,55000,46,SC
SRI SUSHIL MALAKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=188,Kamalpur,IND,0,5th Pass,21139,0,21139,45,GEN
SUBAL BHOWMIK,http://myneta.info/tripura2008/candidate.php?candidate_id=277,Sonamura,INC,0,Graduate Professional,29842950,0,29842950,21,GEN
SUBAL DEB,http://myneta.info/tripura2008/candidate.php?candidate_id=285,Kalyanpur,AMB,0,12th Pass,8288,0,8288,27,GEN
