candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Thakur Das Nagvanshi,http://myneta.info/mp2013/candidate.php?candidate_id=330,PIPARIYA,BJP,0,10th Pass,3110144,136399,2973745,139,SC,HOSHANGABAD,CENTRAL NARMADA VALLEY,true,true,false,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=330&id2=173,3110144,2849607,260537,9%,PAN was missing last time,Bharatiya Janata Party
Thakur Hari Singh Patel,http://myneta.info/mp2013/candidate.php?candidate_id=2271,UDAIPURA,IND,0,12th Pass,31088834,490000,30598834,140,GEN,RAISEN,VINDHYAN PLEATEAU,true,true,false,Female,,,,,,,Independent
Thakur Rajendra Singh Baghel,http://myneta.info/mp2013/candidate.php?candidate_id=912,HATPIPLIYA,INC,0,Graduate Professional,161301000,404000,160897000,172,GEN,DEWAS,MALWA PLATEAU,true,true,false,Male,,,,,,,Indian National Congress
Thakur Sobran Singh,http://myneta.info/mp2013/candidate.php?candidate_id=784,BARGI,INC,0,10th Pass,14641000,2094529,12546471,96,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Indian National Congress
Thakur Virendra Singh Raghuvanshi,http://myneta.info/mp2013/candidate.php?candidate_id=2384,CHURAI,IND,1,5th Pass,30770000,19862,30750138,124,GEN,CHHINDWARA,SATPURA PLATEAU,false,false,true,Male,,,,,,,Independent
Tikaram Korachi,http://myneta.info/mp2013/candidate.php?candidate_id=791,PANDHURNA,BJP,1,12th Pass,1267000,29000,1238000,128,ST,CHHINDWARA,SATPURA PLATEAU,false,false,true,Male,,,,,,,Bharatiya Janata Party
Tilak Raj Singh,http://myneta.info/mp2013/candidate.php?candidate_id=770,DHOUHANI,INC,0,Post Graduate,1028471,424357,604114,82,ST,SIDHI,KYMORE PLEATEAU AND SATPURA HILLS,false,true,false,Male,,,,,,,Indian National Congress
Tilak Singh Lodhi,http://myneta.info/mp2013/candidate.php?candidate_id=731,MALHARA,INC,0,12th Pass,8143804,537175,7606629,53,GEN,CHHATARPUR,BUNDELKHAND ZONE,false,false,false,Male,,,,,,,Indian National Congress
Tirath Singh Chandel,http://myneta.info/mp2013/candidate.php?candidate_id=2727,SEONI,SP,0,8th Pass,4917119,0,4917119,115,GEN,SEONI,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Samajwadi Party
Tol Sing,http://myneta.info/mp2013/candidate.php?candidate_id=1163,THANDLA,JD(U),0,12th Pass,1177929,0,1177929,194,ST,JHABUA,JHABUA HILLS,false,false,false,Male,,,,,,,Janata Dal (United)
Toshmani Panthi (Kanna),http://myneta.info/mp2013/candidate.php?candidate_id=78,KURWAI,IND,0,10th Pass,1262500,400000,862500,146,SC,VIDISHA,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Independent
Tribhuvan Prasad Pandey,http://myneta.info/mp2013/candidate.php?candidate_id=1233,SATNA,IND,0,Graduate,930890,416284,514606,63,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Independent
Trivedi Prasad Maitraiy,http://myneta.info/mp2013/candidate.php?candidate_id=764,MANGAWAN,INC,2,Graduate Professional,3966713,0,3966713,73,SC,REWA,KYMORE PLEATEAU AND SATPURA HILLS,false,true,true,Male,,,,,,,Indian National Congress
Triyugi Narayan Shukla,http://myneta.info/mp2013/candidate.php?candidate_id=759,SEMARIYA,INC,0,Graduate,45929670,11005248,34924422,69,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Indian National Congress
Tukojirao Panwar,http://myneta.info/mp2013/candidate.php?candidate_id=753,DEWAS,BJP,1,Graduate,278711801,24785428,253926373,171,GEN,DEWAS,MALWA PLATEAU,true,true,false,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=753&id2=117,278711801,23409739,255302062,1091%,,Bharatiya Janata Party
Tulasiram Patidar,http://myneta.info/mp2013/candidate.php?candidate_id=1131,BADNAWAR,BSP,0,5th Pass,4000600,0,4000600,202,GEN,DHAR,MALWA PLATEAU,false,false,false,Male,,,,,,,Bahujan Samaj Party
Tulsi,http://myneta.info/mp2013/candidate.php?candidate_id=2057,MANGAWAN,NCP,0,12th Pass,5072830,0,5072830,73,SC,REWA,KYMORE PLEATEAU AND SATPURA HILLS,false,true,false,Male,,,,,,,Nationalist Congress Party
